"response","Country","Number","question"
"Caused mostly by human activities","Albania",42.32757866,"Ques__Climate_beliefs"
"Caused mostly by human activities","Algeria",37.42463569,"Ques__Climate_beliefs"
"Caused mostly by human activities","Angola",33.38016124,"Ques__Climate_beliefs"
"Caused mostly by human activities","Argentina",55.38593652,"Ques__Climate_beliefs"
"Caused mostly by human activities","Armenia",35.19470858,"Ques__Climate_beliefs"
"Caused mostly by human activities","Asian...Pacific.Islands",43.39792365,"Ques__Climate_beliefs"
"Caused mostly by human activities","Australia",49.76833366,"Ques__Climate_beliefs"
"Caused mostly by human activities","Austria",49.18013037,"Ques__Climate_beliefs"
"Caused mostly by human activities","Azerbaijan",38.12086715,"Ques__Climate_beliefs"
"Caused mostly by human activities","Bangladesh",39.3902377,"Ques__Climate_beliefs"
"Caused mostly by human activities","Belgium",54.69478291,"Ques__Climate_beliefs"
"Caused mostly by human activities","Benin",36.33180779,"Ques__Climate_beliefs"
"Caused mostly by human activities","Bolivia..Plurinational.State.of.",44.06350863,"Ques__Climate_beliefs"
"Caused mostly by human activities","Bosnia.and.Herzegovina",56.27162126,"Ques__Climate_beliefs"
"Caused mostly by human activities","Botswana",31.52237652,"Ques__Climate_beliefs"
"Caused mostly by human activities","Brazil",52.7774124,"Ques__Climate_beliefs"
"Caused mostly by human activities","Bulgaria",47.9015392,"Ques__Climate_beliefs"
"Caused mostly by human activities","Burkina.Faso",34.53935913,"Ques__Climate_beliefs"
"Caused mostly by human activities","Cambodia",35.01977752,"Ques__Climate_beliefs"
"Caused mostly by human activities","Cameroon",31.56724517,"Ques__Climate_beliefs"
"Caused mostly by human activities","Canada",52.27573045,"Ques__Climate_beliefs"
"Caused mostly by human activities","Caribbean",40.02665045,"Ques__Climate_beliefs"
"Caused mostly by human activities","Chile",52.29555183,"Ques__Climate_beliefs"
"Caused mostly by human activities","Colombia",47.09052858,"Ques__Climate_beliefs"
"Caused mostly by human activities","Congo..Democratic.Republic.of.the.",25.71670403,"Ques__Climate_beliefs"
"Caused mostly by human activities","Costa.Rica",58.42612361,"Ques__Climate_beliefs"
"Caused mostly by human activities","Cote.d.Ivoire",32.16835677,"Ques__Climate_beliefs"
"Caused mostly by human activities","Croatia",51.77570104,"Ques__Climate_beliefs"
"Caused mostly by human activities","Cyprus",45.38960857,"Ques__Climate_beliefs"
"Caused mostly by human activities","Czechia",44.14317271,"Ques__Climate_beliefs"
"Caused mostly by human activities","Denmark",53.45865208,"Ques__Climate_beliefs"
"Caused mostly by human activities","Dominican.Republic",31.32550946,"Ques__Climate_beliefs"
"Caused mostly by human activities","Ecuador",44.58351276,"Ques__Climate_beliefs"
"Caused mostly by human activities","Egypt",35.26970481,"Ques__Climate_beliefs"
"Caused mostly by human activities","El.Salvador",44.16349677,"Ques__Climate_beliefs"
"Caused mostly by human activities","Finland",58.19064784,"Ques__Climate_beliefs"
"Caused mostly by human activities","France",56.72707715,"Ques__Climate_beliefs"
"Caused mostly by human activities","Germany",47.72713451,"Ques__Climate_beliefs"
"Caused mostly by human activities","Ghana",31.87396078,"Ques__Climate_beliefs"
"Caused mostly by human activities","Greece",54.98582231,"Ques__Climate_beliefs"
"Caused mostly by human activities","Guatemala",38.27065285,"Ques__Climate_beliefs"
"Caused mostly by human activities","Haiti",22.97942905,"Ques__Climate_beliefs"
"Caused mostly by human activities","Honduras",37.91893718,"Ques__Climate_beliefs"
"Caused mostly by human activities","Hong.Kong",41.54362005,"Ques__Climate_beliefs"
"Caused mostly by human activities","Hungary",43.97347789,"Ques__Climate_beliefs"
"Caused mostly by human activities","India",37.24981944,"Ques__Climate_beliefs"
"Caused mostly by human activities","Indonesia",18.48036349,"Ques__Climate_beliefs"
"Caused mostly by human activities","Iraq",30.03779229,"Ques__Climate_beliefs"
"Caused mostly by human activities","Ireland",52.62383531,"Ques__Climate_beliefs"
"Caused mostly by human activities","Israel",43.44630911,"Ques__Climate_beliefs"
"Caused mostly by human activities","Italy",58.05593913,"Ques__Climate_beliefs"
"Caused mostly by human activities","Jamaica",38.21919403,"Ques__Climate_beliefs"
"Caused mostly by human activities","Japan",48.22630987,"Ques__Climate_beliefs"
"Caused mostly by human activities","Jordan",26.16276667,"Ques__Climate_beliefs"
"Caused mostly by human activities","Kenya",33.00016907,"Ques__Climate_beliefs"
"Caused mostly by human activities","Kosovo",31.54371981,"Ques__Climate_beliefs"
"Caused mostly by human activities","Kuwait",25.75041319,"Ques__Climate_beliefs"
"Caused mostly by human activities","Lao.People.s.Democratic.Republic",39.88406799,"Ques__Climate_beliefs"
"Caused mostly by human activities","Lebanon",36.55274736,"Ques__Climate_beliefs"
"Caused mostly by human activities","Libya",30.19125271,"Ques__Climate_beliefs"
"Caused mostly by human activities","Lithuania",48.0750682,"Ques__Climate_beliefs"
"Caused mostly by human activities","Malawi",39.80692529,"Ques__Climate_beliefs"
"Caused mostly by human activities","Malaysia",37.81486671,"Ques__Climate_beliefs"
"Caused mostly by human activities","Mexico",57.0670051,"Ques__Climate_beliefs"
"Caused mostly by human activities","Morocco",41.73398942,"Ques__Climate_beliefs"
"Caused mostly by human activities","Mozambique",24.26079964,"Ques__Climate_beliefs"
"Caused mostly by human activities","Nepal",48.97369248,"Ques__Climate_beliefs"
"Caused mostly by human activities","Netherlands",50.57916783,"Ques__Climate_beliefs"
"Caused mostly by human activities","New.Zealand",46.15426568,"Ques__Climate_beliefs"
"Caused mostly by human activities","Nicaragua",45.815617,"Ques__Climate_beliefs"
"Caused mostly by human activities","Nigeria",26.14882911,"Ques__Climate_beliefs"
"Caused mostly by human activities","North.MAcedonia",45.3054709,"Ques__Climate_beliefs"
"Caused mostly by human activities","Norway",43.38906846,"Ques__Climate_beliefs"
"Caused mostly by human activities","Oman",38.56513399,"Ques__Climate_beliefs"
"Caused mostly by human activities","Pakistan",35.85969365,"Ques__Climate_beliefs"
"Caused mostly by human activities","Panama",42.74993969,"Ques__Climate_beliefs"
"Caused mostly by human activities","Paraguay",45.71046104,"Ques__Climate_beliefs"
"Caused mostly by human activities","Peru",47.80719489,"Ques__Climate_beliefs"
"Caused mostly by human activities","Philippines",32.04275159,"Ques__Climate_beliefs"
"Caused mostly by human activities","Poland",47.43204501,"Ques__Climate_beliefs"
"Caused mostly by human activities","Portugal",59.24507193,"Ques__Climate_beliefs"
"Caused mostly by human activities","Puerto.Rico",43.78687589,"Ques__Climate_beliefs"
"Caused mostly by human activities","Qatar",37.81746663,"Ques__Climate_beliefs"
"Caused mostly by human activities","Romania",37.53365656,"Ques__Climate_beliefs"
"Caused mostly by human activities","Saudi.Arabia",31.98795789,"Ques__Climate_beliefs"
"Caused mostly by human activities","Senegal",31.6091375,"Ques__Climate_beliefs"
"Caused mostly by human activities","Serbia",41.56202701,"Ques__Climate_beliefs"
"Caused mostly by human activities","Singapore",45.38210552,"Ques__Climate_beliefs"
"Caused mostly by human activities","Slovakia",53.3922909,"Ques__Climate_beliefs"
"Caused mostly by human activities","South.Africa",35.76100742,"Ques__Climate_beliefs"
"Caused mostly by human activities","South.Korea",53.28127087,"Ques__Climate_beliefs"
"Caused mostly by human activities","Spain",65.25076774,"Ques__Climate_beliefs"
