"response","Country","Number","question"
"Extremely important","Albania",17.16879791,"Ques__Climate_importance"
"Extremely important","Algeria",18.06233039,"Ques__Climate_importance"
"Extremely important","Angola",47.56067144,"Ques__Climate_importance"
"Extremely important","Argentina",17.06194691,"Ques__Climate_importance"
"Extremely important","Armenia",6.234638972,"Ques__Climate_importance"
"Extremely important","Asian...Pacific.Islands",35.12463842,"Ques__Climate_importance"
"Extremely important","Australia",24.02006303,"Ques__Climate_importance"
"Extremely important","Austria",16.34793461,"Ques__Climate_importance"
"Extremely important","Azerbaijan",20.85727061,"Ques__Climate_importance"
"Extremely important","Bangladesh",43.35375755,"Ques__Climate_importance"
"Extremely important","Belgium",12.19705944,"Ques__Climate_importance"
"Extremely important","Benin",26.77994978,"Ques__Climate_importance"
"Extremely important","Bolivia..Plurinational.State.of.",25.82529578,"Ques__Climate_importance"
"Extremely important","Bosnia.and.Herzegovina",20.82653219,"Ques__Climate_importance"
"Extremely important","Botswana",31.24011407,"Ques__Climate_importance"
"Extremely important","Brazil",37.3339952,"Ques__Climate_importance"
"Extremely important","Bulgaria",18.66415065,"Ques__Climate_importance"
"Extremely important","Burkina.Faso",31.56814171,"Ques__Climate_importance"
"Extremely important","Cambodia",45.1830135,"Ques__Climate_importance"
"Extremely important","Cameroon",29.37921999,"Ques__Climate_importance"
"Extremely important","Canada",20.93632642,"Ques__Climate_importance"
"Extremely important","Caribbean",25.52885032,"Ques__Climate_importance"
"Extremely important","Chile",30.50939594,"Ques__Climate_importance"
"Extremely important","Colombia",27.3506008,"Ques__Climate_importance"
"Extremely important","Congo..Democratic.Republic.of.the.",31.08801656,"Ques__Climate_importance"
"Extremely important","Costa.Rica",27.99791852,"Ques__Climate_importance"
"Extremely important","Cote.d.Ivoire",33.46257258,"Ques__Climate_importance"
"Extremely important","Croatia",20.84529308,"Ques__Climate_importance"
"Extremely important","Cyprus",24.43918127,"Ques__Climate_importance"
"Extremely important","Czechia",5.971062646,"Ques__Climate_importance"
"Extremely important","Denmark",10.58797027,"Ques__Climate_importance"
"Extremely important","Dominican.Republic",21.54167463,"Ques__Climate_importance"
"Extremely important","Ecuador",26.73056631,"Ques__Climate_importance"
"Extremely important","Egypt",11.14283208,"Ques__Climate_importance"
"Extremely important","El.Salvador",28.47921202,"Ques__Climate_importance"
"Extremely important","Finland",13.49902729,"Ques__Climate_importance"
"Extremely important","France",21.79681426,"Ques__Climate_importance"
"Extremely important","Germany",13.69625406,"Ques__Climate_importance"
"Extremely important","Ghana",31.90547359,"Ques__Climate_importance"
"Extremely important","Greece",26.58728916,"Ques__Climate_importance"
"Extremely important","Guatemala",21.8132737,"Ques__Climate_importance"
"Extremely important","Haiti",31.43917569,"Ques__Climate_importance"
"Extremely important","Honduras",30.31137504,"Ques__Climate_importance"
"Extremely important","Hong.Kong",18.58885204,"Ques__Climate_importance"
"Extremely important","Hungary",24.06645392,"Ques__Climate_importance"
"Extremely important","India",40.49986282,"Ques__Climate_importance"
"Extremely important","Indonesia",12.84734123,"Ques__Climate_importance"
"Extremely important","Iraq",13.5037176,"Ques__Climate_importance"
"Extremely important","Ireland",15.49664299,"Ques__Climate_importance"
"Extremely important","Israel",15.62038871,"Ques__Climate_importance"
"Extremely important","Italy",39.27635962,"Ques__Climate_importance"
"Extremely important","Jamaica",29.33474059,"Ques__Climate_importance"
"Extremely important","Japan",15.34027347,"Ques__Climate_importance"
"Extremely important","Jordan",9.231763608,"Ques__Climate_importance"
"Extremely important","Kenya",32.10909658,"Ques__Climate_importance"
"Extremely important","Kosovo",25.06891386,"Ques__Climate_importance"
"Extremely important","Kuwait",17.62802926,"Ques__Climate_importance"
"Extremely important","Lao.People.s.Democratic.Republic",31.91385707,"Ques__Climate_importance"
"Extremely important","Lebanon",11.67049531,"Ques__Climate_importance"
"Extremely important","Libya",12.7784072,"Ques__Climate_importance"
"Extremely important","Lithuania",8.693961873,"Ques__Climate_importance"
"Extremely important","Malawi",37.56612087,"Ques__Climate_importance"
"Extremely important","Malaysia",23.1745897,"Ques__Climate_importance"
"Extremely important","Mexico",23.37215775,"Ques__Climate_importance"
"Extremely important","Morocco",22.09396251,"Ques__Climate_importance"
"Extremely important","Mozambique",42.21121698,"Ques__Climate_importance"
"Extremely important","Nepal",34.69067767,"Ques__Climate_importance"
"Extremely important","Netherlands",5.880541355,"Ques__Climate_importance"
"Extremely important","New.Zealand",19.09749975,"Ques__Climate_importance"
"Extremely important","Nicaragua",29.49036443,"Ques__Climate_importance"
"Extremely important","Nigeria",25.1032537,"Ques__Climate_importance"
"Extremely important","North.MAcedonia",15.87044717,"Ques__Climate_importance"
"Extremely important","Norway",5.635258665,"Ques__Climate_importance"
"Extremely important","Oman",29.42523758,"Ques__Climate_importance"
"Extremely important","Pakistan",29.24789095,"Ques__Climate_importance"
"Extremely important","Panama",24.20775706,"Ques__Climate_importance"
"Extremely important","Paraguay",23.74443981,"Ques__Climate_importance"
"Extremely important","Peru",21.64473669,"Ques__Climate_importance"
"Extremely important","Philippines",34.47902794,"Ques__Climate_importance"
"Extremely important","Poland",9.453490287,"Ques__Climate_importance"
"Extremely important","Portugal",32.50272361,"Ques__Climate_importance"
"Extremely important","Puerto.Rico",30.85488063,"Ques__Climate_importance"
"Extremely important","Qatar",34.97359899,"Ques__Climate_importance"
"Extremely important","Romania",15.24726161,"Ques__Climate_importance"
"Extremely important","Saudi.Arabia",17.89001625,"Ques__Climate_importance"
"Extremely important","Senegal",32.43060698,"Ques__Climate_importance"
"Extremely important","Serbia",19.74088581,"Ques__Climate_importance"
"Extremely important","Singapore",19.10827448,"Ques__Climate_importance"
"Extremely important","Slovakia",10.18282009,"Ques__Climate_importance"
"Extremely important","South.Africa",32.83616804,"Ques__Climate_importance"
"Extremely important","South.Korea",15.61024753,"Ques__Climate_importance"
"Extremely important","Spain",18.21385231,"Ques__Climate_importance"
"Extremely important","Sri.Lanka",41.87156394,"Ques__Climate_importance"
"Extremely important","Sub.Saharan.Africa",32.99971657,"Ques__Climate_importance"
"Extremely important","Sweden",13.82369563,"Ques__Climate_importance"
"Extremely important","Switzerland",16.32856151,"Ques__Climate_importance"
"Extremely important","Taiwan",37.61625158,"Ques__Climate_importance"
"Extremely important","Tanzania",33.19508106,"Ques__Climate_importance"
"Extremely important","Thailand",16.13111829,"Ques__Climate_importance"
"Extremely important","Trinidad.and.Tobago",24.97636919,"Ques__Climate_importance"
"Extremely important","Tunisia",18.02208714,"Ques__Climate_importance"
"Extremely important","Turkey",42.52981053,"Ques__Climate_importance"
"Extremely important","United.Arab.Emirates",26.98518471,"Ques__Climate_importance"
"Extremely important","United.Kingdom",18.60258417,"Ques__Climate_importance"
"Extremely important","United.States",19.2349948,"Ques__Climate_importance"
"Extremely important","Uruguay",14.2953096,"Ques__Climate_importance"
"Extremely important","Uzbekistan",13.869933,"Ques__Climate_importance"
"Extremely important","Vietnam",25.97878384,"Ques__Climate_importance"
"Extremely important","Yemen",10.65335361,"Ques__Climate_importance"
"Extremely important","Zambia",40.98229305,"Ques__Climate_importance"
"Very important","Albania",42.59232702,"Ques__Climate_importance"
"Very important","Algeria",27.46093457,"Ques__Climate_importance"
"Very important","Angola",38.73775857,"Ques__Climate_importance"
"Very important","Argentina",44.834983,"Ques__Climate_importance"
"Very important","Armenia",33.16957729,"Ques__Climate_importance"
"Very important","Asian...Pacific.Islands",39.68319594,"Ques__Climate_importance"
"Very important","Australia",25.2020182,"Ques__Climate_importance"
"Very important","Austria",36.55668203,"Ques__Climate_importance"
"Very important","Azerbaijan",30.66158269,"Ques__Climate_importance"
"Very important","Bangladesh",36.08242979,"Ques__Climate_importance"
"Very important","Belgium",27.19906365,"Ques__Climate_importance"
"Very important","Benin",37.26606124,"Ques__Climate_importance"
"Very important","Bolivia..Plurinational.State.of.",52.04425126,"Ques__Climate_importance"
"Very important","Bosnia.and.Herzegovina",32.43966076,"Ques__Climate_importance"
"Very important","Botswana",43.52127111,"Ques__Climate_importance"
"Very important","Brazil",36.81701448,"Ques__Climate_importance"
"Very important","Bulgaria",36.93748156,"Ques__Climate_importance"
"Very important","Burkina.Faso",37.71371824,"Ques__Climate_importance"
"Very important","Cambodia",36.73152534,"Ques__Climate_importance"
"Very important","Cameroon",39.84208962,"Ques__Climate_importance"
"Very important","Canada",31.09148223,"Ques__Climate_importance"
"Very important","Caribbean",38.51633581,"Ques__Climate_importance"
"Very important","Chile",46.52829058,"Ques__Climate_importance"
"Very important","Colombia",46.23110459,"Ques__Climate_importance"
"Very important","Congo..Democratic.Republic.of.the.",36.21904898,"Ques__Climate_importance"
"Very important","Costa.Rica",46.32550912,"Ques__Climate_importance"
"Very important","Cote.d.Ivoire",34.29681229,"Ques__Climate_importance"
"Very important","Croatia",33.40578846,"Ques__Climate_importance"
"Very important","Cyprus",32.58531094,"Ques__Climate_importance"
"Very important","Czechia",20.29298692,"Ques__Climate_importance"
"Very important","Denmark",27.39323551,"Ques__Climate_importance"
"Very important","Dominican.Republic",45.05303551,"Ques__Climate_importance"
"Very important","Ecuador",50.047769,"Ques__Climate_importance"
"Very important","Egypt",22.28476848,"Ques__Climate_importance"
"Very important","El.Salvador",51.02846967,"Ques__Climate_importance"
"Very important","Finland",22.39515179,"Ques__Climate_importance"
"Very important","France",33.88860293,"Ques__Climate_importance"
"Very important","Germany",32.8394171,"Ques__Climate_importance"
"Very important","Ghana",50.19356336,"Ques__Climate_importance"
"Very important","Greece",40.20485024,"Ques__Climate_importance"
"Very important","Guatemala",52.6201053,"Ques__Climate_importance"
"Very important","Haiti",29.69173477,"Ques__Climate_importance"
"Very important","Honduras",44.60563353,"Ques__Climate_importance"
"Very important","Hong.Kong",28.44882409,"Ques__Climate_importance"
"Very important","Hungary",36.38706641,"Ques__Climate_importance"
"Very important","India",39.55838704,"Ques__Climate_importance"
"Very important","Indonesia",42.70301702,"Ques__Climate_importance"
"Very important","Iraq",17.14881978,"Ques__Climate_importance"
"Very important","Ireland",32.87874866,"Ques__Climate_importance"
"Very important","Israel",31.45334856,"Ques__Climate_importance"
"Very important","Italy",34.5178322,"Ques__Climate_importance"
"Very important","Jamaica",40.17781558,"Ques__Climate_importance"
"Very important","Japan",35.32220441,"Ques__Climate_importance"
"Very important","Jordan",17.89401764,"Ques__Climate_importance"
"Very important","Kenya",47.97703251,"Ques__Climate_importance"
"Very important","Kosovo",29.07698496,"Ques__Climate_importance"
"Very important","Kuwait",31.36504068,"Ques__Climate_importance"
"Very important","Lao.People.s.Democratic.Republic",22.84500853,"Ques__Climate_importance"
"Very important","Lebanon",20.51686158,"Ques__Climate_importance"
"Very important","Libya",20.11023014,"Ques__Climate_importance"
"Very important","Lithuania",32.39967476,"Ques__Climate_importance"
"Very important","Malawi",39.69650611,"Ques__Climate_importance"
"Very important","Malaysia",37.52102835,"Ques__Climate_importance"
"Very important","Mexico",53.31563383,"Ques__Climate_importance"
"Very important","Morocco",35.11900573,"Ques__Climate_importance"
"Very important","Mozambique",39.55524721,"Ques__Climate_importance"
"Very important","Nepal",39.55371054,"Ques__Climate_importance"
"Very important","Netherlands",23.12667998,"Ques__Climate_importance"
"Very important","New.Zealand",26.43222186,"Ques__Climate_importance"
"Very important","Nicaragua",48.15711958,"Ques__Climate_importance"
"Very important","Nigeria",37.90402886,"Ques__Climate_importance"
"Very important","North.MAcedonia",33.52336166,"Ques__Climate_importance"
"Very important","Norway",23.90998909,"Ques__Climate_importance"
"Very important","Oman",41.62974938,"Ques__Climate_importance"
"Very important","Pakistan",42.01989115,"Ques__Climate_importance"
"Very important","Panama",48.72390586,"Ques__Climate_importance"
"Very important","Paraguay",39.11291699,"Ques__Climate_importance"
"Very important","Peru",55.40918836,"Ques__Climate_importance"
"Very important","Philippines",48.24253262,"Ques__Climate_importance"
"Very important","Poland",28.84909441,"Ques__Climate_importance"
"Very important","Portugal",46.86227423,"Ques__Climate_importance"
"Very important","Puerto.Rico",41.8645382,"Ques__Climate_importance"
"Very important","Qatar",38.94824464,"Ques__Climate_importance"
"Very important","Romania",20.0568356,"Ques__Climate_importance"
"Very important","Saudi.Arabia",36.12252862,"Ques__Climate_importance"
"Very important","Senegal",40.92979195,"Ques__Climate_importance"
"Very important","Serbia",31.60831909,"Ques__Climate_importance"
"Very important","Singapore",37.86793674,"Ques__Climate_importance"
"Very important","Slovakia",25.84525349,"Ques__Climate_importance"
"Very important","South.Africa",39.28025254,"Ques__Climate_importance"
"Very important","South.Korea",41.82723256,"Ques__Climate_importance"
"Very important","Spain",46.67865428,"Ques__Climate_importance"
"Very important","Sri.Lanka",38.88600899,"Ques__Climate_importance"
"Very important","Sub.Saharan.Africa",39.88189831,"Ques__Climate_importance"
"Very important","Sweden",26.73704172,"Ques__Climate_importance"
"Very important","Switzerland",35.46301245,"Ques__Climate_importance"
"Very important","Taiwan",30.45515654,"Ques__Climate_importance"
"Very important","Tanzania",29.24568324,"Ques__Climate_importance"
"Very important","Thailand",26.08597222,"Ques__Climate_importance"
"Very important","Trinidad.and.Tobago",40.33685121,"Ques__Climate_importance"
"Very important","Tunisia",34.45261216,"Ques__Climate_importance"
"Very important","Turkey",25.14714483,"Ques__Climate_importance"
"Very important","United.Arab.Emirates",37.39851688,"Ques__Climate_importance"
"Very important","United.Kingdom",30.8880343,"Ques__Climate_importance"
"Very important","United.States",29.2899515,"Ques__Climate_importance"
"Very important","Uruguay",45.59808854,"Ques__Climate_importance"
"Very important","Uzbekistan",37.85336886,"Ques__Climate_importance"
"Very important","Vietnam",29.00869461,"Ques__Climate_importance"
"Very important","Yemen",15.78256772,"Ques__Climate_importance"
"Very important","Zambia",44.89338021,"Ques__Climate_importance"
"Somewhat important","Albania",26.31075123,"Ques__Climate_importance"
"Somewhat important","Algeria",29.51385981,"Ques__Climate_importance"
"Somewhat important","Angola",7.981599959,"Ques__Climate_importance"
"Somewhat important","Argentina",26.64717432,"Ques__Climate_importance"
"Somewhat important","Armenia",29.16819122,"Ques__Climate_importance"
"Somewhat important","Asian...Pacific.Islands",15.80815188,"Ques__Climate_importance"
"Somewhat important","Australia",26.05374416,"Ques__Climate_importance"
"Somewhat important","Austria",34.99391315,"Ques__Climate_importance"
"Somewhat important","Azerbaijan",23.08442466,"Ques__Climate_importance"
"Somewhat important","Bangladesh",9.859476467,"Ques__Climate_importance"
"Somewhat important","Belgium",37.17565087,"Ques__Climate_importance"
"Somewhat important","Benin",12.15213701,"Ques__Climate_importance"
"Somewhat important","Bolivia..Plurinational.State.of.",12.33340519,"Ques__Climate_importance"
"Somewhat important","Bosnia.and.Herzegovina",28.51804449,"Ques__Climate_importance"
"Somewhat important","Botswana",10.1979462,"Ques__Climate_importance"
"Somewhat important","Brazil",14.82491477,"Ques__Climate_importance"
"Somewhat important","Bulgaria",29.09283011,"Ques__Climate_importance"
"Somewhat important","Burkina.Faso",17.15879538,"Ques__Climate_importance"
"Somewhat important","Cambodia",8.662271481,"Ques__Climate_importance"
"Somewhat important","Cameroon",19.14719015,"Ques__Climate_importance"
"Somewhat important","Canada",26.36050191,"Ques__Climate_importance"
"Somewhat important","Caribbean",20.33880853,"Ques__Climate_importance"
"Somewhat important","Chile",15.50434961,"Ques__Climate_importance"
"Somewhat important","Colombia",16.34400678,"Ques__Climate_importance"
"Somewhat important","Congo..Democratic.Republic.of.the.",12.45731454,"Ques__Climate_importance"
"Somewhat important","Costa.Rica",18.99650082,"Ques__Climate_importance"
"Somewhat important","Cote.d.Ivoire",16.19527969,"Ques__Climate_importance"
"Somewhat important","Croatia",28.04059075,"Ques__Climate_importance"
"Somewhat important","Cyprus",24.88284973,"Ques__Climate_importance"
"Somewhat important","Czechia",35.68833049,"Ques__Climate_importance"
"Somewhat important","Denmark",37.42955696,"Ques__Climate_importance"
"Somewhat important","Dominican.Republic",18.66191184,"Ques__Climate_importance"
"Somewhat important","Ecuador",16.15623303,"Ques__Climate_importance"
"Somewhat important","Egypt",34.01783139,"Ques__Climate_importance"
"Somewhat important","El.Salvador",12.29987863,"Ques__Climate_importance"
"Somewhat important","Finland",31.70906106,"Ques__Climate_importance"
"Somewhat important","France",29.29875564,"Ques__Climate_importance"
"Somewhat important","Germany",34.75874183,"Ques__Climate_importance"
"Somewhat important","Ghana",6.854187044,"Ques__Climate_importance"
"Somewhat important","Greece",22.35955431,"Ques__Climate_importance"
"Somewhat important","Guatemala",15.93413819,"Ques__Climate_importance"
"Somewhat important","Haiti",12.94622286,"Ques__Climate_importance"
"Somewhat important","Honduras",14.5654633,"Ques__Climate_importance"
"Somewhat important","Hong.Kong",31.05862341,"Ques__Climate_importance"
"Somewhat important","Hungary",32.053448,"Ques__Climate_importance"
"Somewhat important","India",10.86842434,"Ques__Climate_importance"
"Somewhat important","Indonesia",20.30877318,"Ques__Climate_importance"
"Somewhat important","Iraq",39.23690162,"Ques__Climate_importance"
"Somewhat important","Ireland",32.42367567,"Ques__Climate_importance"
"Somewhat important","Israel",29.07028933,"Ques__Climate_importance"
"Somewhat important","Italy",18.90771066,"Ques__Climate_importance"
"Somewhat important","Jamaica",17.80019081,"Ques__Climate_importance"
"Somewhat important","Japan",38.46750779,"Ques__Climate_importance"
"Somewhat important","Jordan",36.73496948,"Ques__Climate_importance"
"Somewhat important","Kenya",6.537337543,"Ques__Climate_importance"
"Somewhat important","Kosovo",12.42956442,"Ques__Climate_importance"
"Somewhat important","Kuwait",21.47333713,"Ques__Climate_importance"
"Somewhat important","Lao.People.s.Democratic.Republic",30.08649112,"Ques__Climate_importance"
"Somewhat important","Lebanon",41.53291457,"Ques__Climate_importance"
"Somewhat important","Libya",33.61019262,"Ques__Climate_importance"
"Somewhat important","Lithuania",42.41646905,"Ques__Climate_importance"
"Somewhat important","Malawi",3.929125749,"Ques__Climate_importance"
"Somewhat important","Malaysia",24.18939242,"Ques__Climate_importance"
"Somewhat important","Mexico",18.93541368,"Ques__Climate_importance"
"Somewhat important","Morocco",23.06744137,"Ques__Climate_importance"
"Somewhat important","Mozambique",8.747624864,"Ques__Climate_importance"
"Somewhat important","Nepal",15.57416504,"Ques__Climate_importance"
"Somewhat important","Netherlands",38.19074707,"Ques__Climate_importance"
"Somewhat important","New.Zealand",30.89617925,"Ques__Climate_importance"
"Somewhat important","Nicaragua",15.67662987,"Ques__Climate_importance"
"Somewhat important","Nigeria",12.30254477,"Ques__Climate_importance"
"Somewhat important","North.MAcedonia",30.67932612,"Ques__Climate_importance"
"Somewhat important","Norway",34.07124897,"Ques__Climate_importance"
"Somewhat important","Oman",14.43816359,"Ques__Climate_importance"
"Somewhat important","Pakistan",13.48524811,"Ques__Climate_importance"
"Somewhat important","Panama",20.50181711,"Ques__Climate_importance"
"Somewhat important","Paraguay",22.00308397,"Ques__Climate_importance"
"Somewhat important","Peru",16.60987277,"Ques__Climate_importance"
"Somewhat important","Philippines",12.22860631,"Ques__Climate_importance"
"Somewhat important","Poland",38.99836088,"Ques__Climate_importance"
"Somewhat important","Portugal",15.6690436,"Ques__Climate_importance"
"Somewhat important","Puerto.Rico",20.88198479,"Ques__Climate_importance"
"Somewhat important","Qatar",12.48314566,"Ques__Climate_importance"
"Somewhat important","Romania",41.03577628,"Ques__Climate_importance"
"Somewhat important","Saudi.Arabia",23.47390022,"Ques__Climate_importance"
"Somewhat important","Senegal",13.90830865,"Ques__Climate_importance"
"Somewhat important","Serbia",32.36318852,"Ques__Climate_importance"
"Somewhat important","Singapore",30.99982254,"Ques__Climate_importance"
"Somewhat important","Slovakia",44.53314624,"Ques__Climate_importance"
"Somewhat important","South.Africa",15.8434504,"Ques__Climate_importance"
"Somewhat important","South.Korea",34.42308063,"Ques__Climate_importance"
"Somewhat important","Spain",25.99479346,"Ques__Climate_importance"
"Somewhat important","Sri.Lanka",14.84798271,"Ques__Climate_importance"
"Somewhat important","Sub.Saharan.Africa",11.68405307,"Ques__Climate_importance"
"Somewhat important","Sweden",34.7083878,"Ques__Climate_importance"
"Somewhat important","Switzerland",33.00170267,"Ques__Climate_importance"
"Somewhat important","Taiwan",22.39486832,"Ques__Climate_importance"
"Somewhat important","Tanzania",14.4658208,"Ques__Climate_importance"
"Somewhat important","Thailand",44.42243391,"Ques__Climate_importance"
"Somewhat important","Trinidad.and.Tobago",19.24113337,"Ques__Climate_importance"
"Somewhat important","Tunisia",23.49374544,"Ques__Climate_importance"
"Somewhat important","Turkey",19.82879928,"Ques__Climate_importance"
"Somewhat important","United.Arab.Emirates",18.15560824,"Ques__Climate_importance"
"Somewhat important","United.Kingdom",29.41885229,"Ques__Climate_importance"
"Somewhat important","United.States",23.17340901,"Ques__Climate_importance"
"Somewhat important","Uruguay",26.58723162,"Ques__Climate_importance"
"Somewhat important","Uzbekistan",29.27659926,"Ques__Climate_importance"
"Somewhat important","Vietnam",31.87935734,"Ques__Climate_importance"
"Somewhat important","Yemen",34.09727932,"Ques__Climate_importance"
"Somewhat important","Zambia",4.649843135,"Ques__Climate_importance"
"Not too important","Albania",6.816715129,"Ques__Climate_importance"
"Not too important","Algeria",12.96783861,"Ques__Climate_importance"
"Not too important","Angola",2.068596599,"Ques__Climate_importance"
"Not too important","Argentina",7.496725119,"Ques__Climate_importance"
"Not too important","Armenia",22.48924713,"Ques__Climate_importance"
"Not too important","Asian...Pacific.Islands",4.641810587,"Ques__Climate_importance"
"Not too important","Australia",15.54362072,"Ques__Climate_importance"
"Not too important","Austria",7.8713323,"Ques__Climate_importance"
"Not too important","Azerbaijan",15.84038296,"Ques__Climate_importance"
"Not too important","Bangladesh",2.346179311,"Ques__Climate_importance"
"Not too important","Belgium",18.98785912,"Ques__Climate_importance"
"Not too important","Benin",6.863873301,"Ques__Climate_importance"
"Not too important","Bolivia..Plurinational.State.of.",5.284926348,"Ques__Climate_importance"
"Not too important","Bosnia.and.Herzegovina",14.04251387,"Ques__Climate_importance"
"Not too important","Botswana",8.715193399,"Ques__Climate_importance"
"Not too important","Brazil",6.569033073,"Ques__Climate_importance"
"Not too important","Bulgaria",10.53624194,"Ques__Climate_importance"
"Not too important","Burkina.Faso",5.675165678,"Ques__Climate_importance"
"Not too important","Cambodia",4.435679471,"Ques__Climate_importance"
"Not too important","Cameroon",8.371775682,"Ques__Climate_importance"
"Not too important","Canada",15.08569964,"Ques__Climate_importance"
"Not too important","Caribbean",9.518276644,"Ques__Climate_importance"
"Not too important","Chile",4.913451477,"Ques__Climate_importance"
"Not too important","Colombia",5.548635128,"Ques__Climate_importance"
"Not too important","Congo..Democratic.Republic.of.the.",7.633279909,"Ques__Climate_importance"
"Not too important","Costa.Rica",3.959496745,"Ques__Climate_importance"
"Not too important","Cote.d.Ivoire",4.538770732,"Ques__Climate_importance"
"Not too important","Croatia",13.12760452,"Ques__Climate_importance"
"Not too important","Cyprus",12.94138014,"Ques__Climate_importance"
"Not too important","Czechia",29.59036625,"Ques__Climate_importance"
"Not too important","Denmark",20.757193,"Ques__Climate_importance"
"Not too important","Dominican.Republic",7.85117875,"Ques__Climate_importance"
"Not too important","Ecuador",3.95965253,"Ques__Climate_importance"
"Not too important","Egypt",15.6112521,"Ques__Climate_importance"
"Not too important","El.Salvador",4.537094103,"Ques__Climate_importance"
"Not too important","Finland",22.86207279,"Ques__Climate_importance"
"Not too important","France",11.16026455,"Ques__Climate_importance"
"Not too important","Germany",12.0562254,"Ques__Climate_importance"
"Not too important","Ghana",6.136102174,"Ques__Climate_importance"
"Not too important","Greece",7.126426997,"Ques__Climate_importance"
"Not too important","Guatemala",5.415476172,"Ques__Climate_importance"
"Not too important","Haiti",11.52010869,"Ques__Climate_importance"
"Not too important","Honduras",4.496895973,"Ques__Climate_importance"
"Not too important","Hong.Kong",15.60560364,"Ques__Climate_importance"
"Not too important","Hungary",5.928604097,"Ques__Climate_importance"
"Not too important","India",4.145031111,"Ques__Climate_importance"
"Not too important","Indonesia",18.54946532,"Ques__Climate_importance"
"Not too important","Iraq",13.67024434,"Ques__Climate_importance"
"Not too important","Ireland",12.35245596,"Ques__Climate_importance"
"Not too important","Israel",16.2899467,"Ques__Climate_importance"
"Not too important","Italy",5.1844716,"Ques__Climate_importance"
"Not too important","Jamaica",6.252696204,"Ques__Climate_importance"
"Not too important","Japan",8.393759279,"Ques__Climate_importance"
