"response","Country","Number","question"
"Much more","Albania",8.305925238,"Ques__Fossil_moreorless"
"Much more","Algeria",20.52607665,"Ques__Fossil_moreorless"
"Much more","Angola",36.17456406,"Ques__Fossil_moreorless"
"Much more","Argentina",13.13212309,"Ques__Fossil_moreorless"
"Much more","Armenia",14.92461179,"Ques__Fossil_moreorless"
"Much more","Asian...Pacific.Islands",25.92047963,"Ques__Fossil_moreorless"
"Much more","Australia",5.768394485,"Ques__Fossil_moreorless"
"Much more","Austria",6.315077235,"Ques__Fossil_moreorless"
"Much more","Azerbaijan",12.06816163,"Ques__Fossil_moreorless"
"Much more","Bangladesh",38.10625762,"Ques__Fossil_moreorless"
"Much more","Belgium",5.988349946,"Ques__Fossil_moreorless"
"Much more","Benin",38.72538148,"Ques__Fossil_moreorless"
"Much more","Bolivia..Plurinational.State.of.",20.32278974,"Ques__Fossil_moreorless"
"Much more","Bosnia.and.Herzegovina",10.49539422,"Ques__Fossil_moreorless"
"Much more","Botswana",33.86636039,"Ques__Fossil_moreorless"
"Much more","Brazil",25.03115658,"Ques__Fossil_moreorless"
"Much more","Bulgaria",7.163067001,"Ques__Fossil_moreorless"
"Much more","Burkina.Faso",35.26922036,"Ques__Fossil_moreorless"
"Much more","Cambodia",33.60756488,"Ques__Fossil_moreorless"
"Much more","Cameroon",35.71326028,"Ques__Fossil_moreorless"
"Much more","Canada",6.172238161,"Ques__Fossil_moreorless"
"Much more","Caribbean",16.68553412,"Ques__Fossil_moreorless"
"Much more","Chile",16.3031829,"Ques__Fossil_moreorless"
"Much more","Colombia",18.03247583,"Ques__Fossil_moreorless"
"Much more","Congo..Democratic.Republic.of.the.",26.90362418,"Ques__Fossil_moreorless"
"Much more","Costa.Rica",18.31815548,"Ques__Fossil_moreorless"
"Much more","Cote.d.Ivoire",30.47916144,"Ques__Fossil_moreorless"
"Much more","Croatia",11.08047852,"Ques__Fossil_moreorless"
"Much more","Cyprus",12.54396153,"Ques__Fossil_moreorless"
"Much more","Czechia",5.178694562,"Ques__Fossil_moreorless"
"Much more","Denmark",2.217654973,"Ques__Fossil_moreorless"
"Much more","Dominican.Republic",26.74017221,"Ques__Fossil_moreorless"
"Much more","Ecuador",16.3811889,"Ques__Fossil_moreorless"
"Much more","Egypt",14.59067388,"Ques__Fossil_moreorless"
"Much more","El.Salvador",20.91519032,"Ques__Fossil_moreorless"
"Much more","Finland",4.534088965,"Ques__Fossil_moreorless"
"Much more","France",6.003586839,"Ques__Fossil_moreorless"
"Much more","Germany",6.186625401,"Ques__Fossil_moreorless"
"Much more","Ghana",46.46125406,"Ques__Fossil_moreorless"
"Much more","Greece",9.811793033,"Ques__Fossil_moreorless"
"Much more","Guatemala",21.53954014,"Ques__Fossil_moreorless"
"Much more","Haiti",29.45056318,"Ques__Fossil_moreorless"
"Much more","Honduras",24.19699298,"Ques__Fossil_moreorless"
"Much more","Hong.Kong",8.640422125,"Ques__Fossil_moreorless"
"Much more","Hungary",5.571087992,"Ques__Fossil_moreorless"
"Much more","India",23.67617171,"Ques__Fossil_moreorless"
"Much more","Indonesia",21.24705397,"Ques__Fossil_moreorless"
"Much more","Iraq",16.04969577,"Ques__Fossil_moreorless"
"Much more","Ireland",7.501307971,"Ques__Fossil_moreorless"
"Much more","Israel",9.757701161,"Ques__Fossil_moreorless"
"Much more","Italy",9.389491043,"Ques__Fossil_moreorless"
"Much more","Jamaica",22.96181272,"Ques__Fossil_moreorless"
"Much more","Japan",5.006010673,"Ques__Fossil_moreorless"
"Much more","Jordan",17.12079763,"Ques__Fossil_moreorless"
"Much more","Kenya",44.37930106,"Ques__Fossil_moreorless"
"Much more","Kosovo",11.27730446,"Ques__Fossil_moreorless"
"Much more","Kuwait",24.43376679,"Ques__Fossil_moreorless"
"Much more","Lao.People.s.Democratic.Republic",30.02012026,"Ques__Fossil_moreorless"
"Much more","Lebanon",19.1615705,"Ques__Fossil_moreorless"
"Much more","Libya",18.68521826,"Ques__Fossil_moreorless"
"Much more","Lithuania",6.769057162,"Ques__Fossil_moreorless"
"Much more","Malawi",45.77570533,"Ques__Fossil_moreorless"
"Much more","Malaysia",20.56707829,"Ques__Fossil_moreorless"
"Much more","Mexico",12.08501753,"Ques__Fossil_moreorless"
"Much more","Morocco",19.2331131,"Ques__Fossil_moreorless"
"Much more","Mozambique",35.42807458,"Ques__Fossil_moreorless"
"Much more","Nepal",33.72397133,"Ques__Fossil_moreorless"
"Much more","Netherlands",4.88856442,"Ques__Fossil_moreorless"
"Much more","New.Zealand",6.406293325,"Ques__Fossil_moreorless"
"Much more","Nicaragua",19.93085865,"Ques__Fossil_moreorless"
"Much more","Nigeria",38.65716033,"Ques__Fossil_moreorless"
"Much more","North.MAcedonia",17.44366766,"Ques__Fossil_moreorless"
"Much more","Norway",4.685665131,"Ques__Fossil_moreorless"
"Much more","Oman",25.9792934,"Ques__Fossil_moreorless"
"Much more","Pakistan",33.45262206,"Ques__Fossil_moreorless"
"Much more","Panama",19.87286513,"Ques__Fossil_moreorless"
"Much more","Paraguay",18.18536529,"Ques__Fossil_moreorless"
"Much more","Peru",19.57686831,"Ques__Fossil_moreorless"
"Much more","Philippines",35.31105249,"Ques__Fossil_moreorless"
"Much more","Poland",12.73888679,"Ques__Fossil_moreorless"
"Much more","Portugal",10.67535904,"Ques__Fossil_moreorless"
"Much more","Puerto.Rico",17.11992758,"Ques__Fossil_moreorless"
"Much more","Qatar",26.49493799,"Ques__Fossil_moreorless"
"Much more","Romania",14.11569182,"Ques__Fossil_moreorless"
"Much more","Saudi.Arabia",21.39081699,"Ques__Fossil_moreorless"
"Much more","Senegal",35.91645338,"Ques__Fossil_moreorless"
"Much more","Serbia",8.708909546,"Ques__Fossil_moreorless"
"Much more","Singapore",11.45157535,"Ques__Fossil_moreorless"
"Much more","Slovakia",6.008151566,"Ques__Fossil_moreorless"
"Much more","South.Africa",27.84988057,"Ques__Fossil_moreorless"
"Much more","South.Korea",6.381705591,"Ques__Fossil_moreorless"
"Much more","Spain",10.73079296,"Ques__Fossil_moreorless"
"Much more","Sri.Lanka",24.27638614,"Ques__Fossil_moreorless"
"Much more","Sub.Saharan.Africa",34.52979786,"Ques__Fossil_moreorless"
"Much more","Sweden",5.702742597,"Ques__Fossil_moreorless"
"Much more","Switzerland",5.43235008,"Ques__Fossil_moreorless"
"Much more","Taiwan",10.47997294,"Ques__Fossil_moreorless"
"Much more","Tanzania",32.53030596,"Ques__Fossil_moreorless"
"Much more","Thailand",14.32212692,"Ques__Fossil_moreorless"
"Much more","Trinidad.and.Tobago",19.72988256,"Ques__Fossil_moreorless"
"Much more","Tunisia",25.05542424,"Ques__Fossil_moreorless"
"Much more","Turkey",14.28483961,"Ques__Fossil_moreorless"
"Much more","United.Arab.Emirates",26.52150312,"Ques__Fossil_moreorless"
"Much more","United.Kingdom",6.034429977,"Ques__Fossil_moreorless"
"Much more","United.States",9.883096092,"Ques__Fossil_moreorless"
"Much more","Uruguay",9.643047123,"Ques__Fossil_moreorless"
"Much more","Uzbekistan",13.35406047,"Ques__Fossil_moreorless"
"Much more","Vietnam",20.15219987,"Ques__Fossil_moreorless"
"Much more","Yemen",21.76146643,"Ques__Fossil_moreorless"
"Much more","Zambia",47.29414489,"Ques__Fossil_moreorless"
"Somewhat more","Albania",16.30822517,"Ques__Fossil_moreorless"
"Somewhat more","Algeria",15.22750002,"Ques__Fossil_moreorless"
"Somewhat more","Angola",17.22237208,"Ques__Fossil_moreorless"
"Somewhat more","Argentina",6.726741864,"Ques__Fossil_moreorless"
"Somewhat more","Armenia",12.72629732,"Ques__Fossil_moreorless"
"Somewhat more","Asian...Pacific.Islands",14.46639501,"Ques__Fossil_moreorless"
"Somewhat more","Australia",6.934535582,"Ques__Fossil_moreorless"
"Somewhat more","Austria",7.190148543,"Ques__Fossil_moreorless"
"Somewhat more","Azerbaijan",14.45252189,"Ques__Fossil_moreorless"
"Somewhat more","Bangladesh",13.47694762,"Ques__Fossil_moreorless"
