"response","Country","Number","question"
"A great deal","Albania",23.89933714,"Ques__climate_harmpersonally"
"A great deal","Algeria",27.30555901,"Ques__climate_harmpersonally"
"A great deal","Angola",50.22198908,"Ques__climate_harmpersonally"
"A great deal","Argentina",39.09030406,"Ques__climate_harmpersonally"
"A great deal","Armenia",15.54760111,"Ques__climate_harmpersonally"
"A great deal","Asian...Pacific.Islands",44.94333176,"Ques__climate_harmpersonally"
"A great deal","Australia",21.17070152,"Ques__climate_harmpersonally"
"A great deal","Austria",24.65726138,"Ques__climate_harmpersonally"
"A great deal","Azerbaijan",16.81275198,"Ques__climate_harmpersonally"
"A great deal","Bangladesh",45.84929229,"Ques__climate_harmpersonally"
"A great deal","Belgium",16.05623133,"Ques__climate_harmpersonally"
"A great deal","Benin",40.06249146,"Ques__climate_harmpersonally"
"A great deal","Bolivia..Plurinational.State.of.",49.77995417,"Ques__climate_harmpersonally"
"A great deal","Bosnia.and.Herzegovina",17.07304341,"Ques__climate_harmpersonally"
"A great deal","Botswana",47.11863072,"Ques__climate_harmpersonally"
"A great deal","Brazil",54.50314677,"Ques__climate_harmpersonally"
"A great deal","Bulgaria",18.21496654,"Ques__climate_harmpersonally"
"A great deal","Burkina.Faso",44.53479232,"Ques__climate_harmpersonally"
"A great deal","Cambodia",48.74454906,"Ques__climate_harmpersonally"
"A great deal","Cameroon",42.05629604,"Ques__climate_harmpersonally"
"A great deal","Canada",21.56851896,"Ques__climate_harmpersonally"
"A great deal","Caribbean",33.92874399,"Ques__climate_harmpersonally"
"A great deal","Chile",60.82531943,"Ques__climate_harmpersonally"
"A great deal","Colombia",57.43116759,"Ques__climate_harmpersonally"
"A great deal","Congo..Democratic.Republic.of.the.",40.2583952,"Ques__climate_harmpersonally"
"A great deal","Costa.Rica",58.48725941,"Ques__climate_harmpersonally"
"A great deal","Cote.d.Ivoire",51.22880255,"Ques__climate_harmpersonally"
"A great deal","Croatia",16.15067112,"Ques__climate_harmpersonally"
"A great deal","Cyprus",24.46041801,"Ques__climate_harmpersonally"
"A great deal","Czechia",3.135405224,"Ques__climate_harmpersonally"
"A great deal","Denmark",7.878649743,"Ques__climate_harmpersonally"
"A great deal","Dominican.Republic",42.21620663,"Ques__climate_harmpersonally"
"A great deal","Ecuador",51.53471344,"Ques__climate_harmpersonally"
"A great deal","Egypt",22.14318958,"Ques__climate_harmpersonally"
"A great deal","El.Salvador",58.58509459,"Ques__climate_harmpersonally"
"A great deal","Finland",6.167180064,"Ques__climate_harmpersonally"
"A great deal","France",31.09960442,"Ques__climate_harmpersonally"
"A great deal","Germany",22.66394321,"Ques__climate_harmpersonally"
"A great deal","Ghana",39.40344164,"Ques__climate_harmpersonally"
"A great deal","Greece",20.94392925,"Ques__climate_harmpersonally"
"A great deal","Guatemala",53.07543108,"Ques__climate_harmpersonally"
"A great deal","Haiti",26.71154108,"Ques__climate_harmpersonally"
"A great deal","Honduras",56.26598489,"Ques__climate_harmpersonally"
"A great deal","Hong.Kong",34.25294102,"Ques__climate_harmpersonally"
"A great deal","Hungary",34.84633773,"Ques__climate_harmpersonally"
"A great deal","India",49.6708457,"Ques__climate_harmpersonally"
"A great deal","Indonesia",18.68224943,"Ques__climate_harmpersonally"
"A great deal","Iraq",18.59046146,"Ques__climate_harmpersonally"
"A great deal","Ireland",15.90526686,"Ques__climate_harmpersonally"
"A great deal","Israel",17.84540322,"Ques__climate_harmpersonally"
"A great deal","Italy",22.77842672,"Ques__climate_harmpersonally"
"A great deal","Jamaica",40.63224866,"Ques__climate_harmpersonally"
"A great deal","Japan",33.08439728,"Ques__climate_harmpersonally"
