"response","Country","Number","question"
"Very worried","Albania",41.84236649,"Ques__climate_worry"
"Very worried","Algeria",34.57483201,"Ques__climate_worry"
"Very worried","Angola",54.72381844,"Ques__climate_worry"
"Very worried","Argentina",50.37829477,"Ques__climate_worry"
"Very worried","Armenia",35.56072209,"Ques__climate_worry"
"Very worried","Asian...Pacific.Islands",58.97069296,"Ques__climate_worry"
"Very worried","Australia",33.64038605,"Ques__climate_worry"
"Very worried","Austria",37.326637,"Ques__climate_worry"
"Very worried","Azerbaijan",37.32428946,"Ques__climate_worry"
"Very worried","Bangladesh",45.85925415,"Ques__climate_worry"
"Very worried","Belgium",25.87734055,"Ques__climate_worry"
"Very worried","Benin",61.82097862,"Ques__climate_worry"
"Very worried","Bolivia..Plurinational.State.of.",65.98660331,"Ques__climate_worry"
"Very worried","Bosnia.and.Herzegovina",31.16309133,"Ques__climate_worry"
"Very worried","Botswana",60.71420493,"Ques__climate_worry"
"Very worried","Brazil",59.15508959,"Ques__climate_worry"
"Very worried","Bulgaria",24.54310034,"Ques__climate_worry"
"Very worried","Burkina.Faso",68.08424277,"Ques__climate_worry"
"Very worried","Cambodia",61.45050608,"Ques__climate_worry"
"Very worried","Cameroon",54.53554068,"Ques__climate_worry"
"Very worried","Canada",32.97010975,"Ques__climate_worry"
"Very worried","Caribbean",42.16994637,"Ques__climate_worry"
"Very worried","Chile",69.0156141,"Ques__climate_worry"
"Very worried","Colombia",66.83028978,"Ques__climate_worry"
"Very worried","Congo..Democratic.Republic.of.the.",49.96914943,"Ques__climate_worry"
"Very worried","Costa.Rica",63.91252269,"Ques__climate_worry"
"Very worried","Cote.d.Ivoire",68.00511015,"Ques__climate_worry"
"Very worried","Croatia",39.83766718,"Ques__climate_worry"
"Very worried","Cyprus",35.58530532,"Ques__climate_worry"
"Very worried","Czechia",13.26369615,"Ques__climate_worry"
"Very worried","Denmark",20.7452009,"Ques__climate_worry"
"Very worried","Dominican.Republic",55.08899946,"Ques__climate_worry"
"Very worried","Ecuador",61.844609,"Ques__climate_worry"
"Very worried","Egypt",21.64343954,"Ques__climate_worry"
"Very worried","El.Salvador",60.04450527,"Ques__climate_worry"
"Very worried","Finland",24.9542378,"Ques__climate_worry"
"Very worried","France",45.63188815,"Ques__climate_worry"
"Very worried","Germany",34.99500429,"Ques__climate_worry"
"Very worried","Ghana",51.85024052,"Ques__climate_worry"
"Very worried","Greece",56.10949056,"Ques__climate_worry"
"Very worried","Guatemala",56.86813331,"Ques__climate_worry"
"Very worried","Haiti",48.86791562,"Ques__climate_worry"
"Very worried","Honduras",58.72206868,"Ques__climate_worry"
"Very worried","Hong.Kong",15.58186911,"Ques__climate_worry"
"Very worried","Hungary",34.72778514,"Ques__climate_worry"
"Very worried","India",57.8226855,"Ques__climate_worry"
"Very worried","Indonesia",42.676005,"Ques__climate_worry"
"Very worried","Iraq",15.60933931,"Ques__climate_worry"
"Very worried","Ireland",24.53692505,"Ques__climate_worry"
"Very worried","Israel",31.80365195,"Ques__climate_worry"
"Very worried","Italy",37.96275776,"Ques__climate_worry"
"Very worried","Jamaica",38.25748498,"Ques__climate_worry"
"Very worried","Japan",34.99294932,"Ques__climate_worry"
"Very worried","Jordan",15.13426114,"Ques__climate_worry"
"Very worried","Kenya",57.25239278,"Ques__climate_worry"
"Very worried","Kosovo",28.49478253,"Ques__climate_worry"
"Very worried","Kuwait",34.60419594,"Ques__climate_worry"
"Very worried","Lao.People.s.Democratic.Republic",35.91737316,"Ques__climate_worry"
"Very worried","Lebanon",17.78103426,"Ques__climate_worry"
"Very worried","Libya",17.53490048,"Ques__climate_worry"
"Very worried","Lithuania",26.58123057,"Ques__climate_worry"
"Very worried","Malawi",79.72282882,"Ques__climate_worry"
"Very worried","Malaysia",34.95614826,"Ques__climate_worry"
"Very worried","Mexico",63.56504241,"Ques__climate_worry"
