"response","Country","Number","question"
"Improve economic growth and provide new jobs","Albania",35.3141876,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Algeria",38.20674529,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Angola",58.34722241,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Argentina",32.91719196,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Armenia",26.01260602,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Asian...Pacific.Islands",45.05795516,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Australia",49.5556517,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Austria",37.16182735,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Azerbaijan",23.72067619,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Bangladesh",46.56901127,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Belgium",29.00829488,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Benin",48.6214056,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Bolivia..Plurinational.State.of.",24.84277225,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Bosnia.and.Herzegovina",28.42318268,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Botswana",61.28235917,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Brazil",53.21373203,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Bulgaria",31.15350135,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Burkina.Faso",48.76775198,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Cambodia",46.90319433,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Cameroon",47.66593452,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Canada",49.10587676,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Caribbean",47.15102801,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Chile",28.09310725,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Colombia",39.02893357,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Congo..Democratic.Republic.of.the.",35.21469426,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Costa.Rica",36.35450368,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Cote.d.Ivoire",39.71230409,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Croatia",38.11106939,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Cyprus",38.58903368,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Czechia",14.70768229,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Denmark",44.41248046,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Dominican.Republic",30.67644476,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Ecuador",34.23169955,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Egypt",32.97476268,"Ques__economic_impact"
"Improve economic growth and provide new jobs","El.Salvador",27.60199793,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Finland",33.16360807,"Ques__economic_impact"
"Improve economic growth and provide new jobs","France",39.23076947,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Germany",33.17789537,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Ghana",52.63181053,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Greece",43.52092903,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Guatemala",28.25861637,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Haiti",43.99800788,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Honduras",34.94391018,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Hong.Kong",51.86233603,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Hungary",30.6536786,"Ques__economic_impact"
"Improve economic growth and provide new jobs","India",46.88395147,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Indonesia",35.90115088,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Iraq",33.50483497,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Ireland",48.15703481,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Israel",43.07309284,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Italy",27.89958931,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Jamaica",46.4471226,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Japan",28.80947908,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Jordan",35.57897365,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Kenya",62.97706905,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Kosovo",36.73681313,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Kuwait",41.70741416,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Lao.People.s.Democratic.Republic",44.68818173,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Lebanon",40.07337258,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Libya",37.0431474,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Lithuania",28.57684863,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Malawi",74.12623175,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Malaysia",42.64975049,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Mexico",31.14390616,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Morocco",35.83324728,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Mozambique",59.38172646,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Nepal",51.34306868,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Netherlands",27.30596407,"Ques__economic_impact"
"Improve economic growth and provide new jobs","New.Zealand",45.26015215,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Nicaragua",38.41901341,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Nigeria",54.84322935,"Ques__economic_impact"
"Improve economic growth and provide new jobs","North.MAcedonia",33.61386439,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Norway",31.83309808,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Oman",49.42848507,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Pakistan",48.59518656,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Panama",33.92298987,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Paraguay",24.48686843,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Peru",35.88801864,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Philippines",64.06364266,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Poland",22.64890142,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Portugal",51.40767956,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Puerto.Rico",36.09685378,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Qatar",39.86836232,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Romania",26.46578199,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Saudi.Arabia",46.76971882,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Senegal",43.69041272,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Serbia",22.84061547,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Singapore",53.40576401,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Slovakia",33.4568508,"Ques__economic_impact"
"Improve economic growth and provide new jobs","South.Africa",56.50967335,"Ques__economic_impact"
"Improve economic growth and provide new jobs","South.Korea",48.61473841,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Spain",43.06072009,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Sri.Lanka",49.94960213,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Sub.Saharan.Africa",47.8296367,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Sweden",28.03547794,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Switzerland",36.5051677,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Taiwan",52.29090367,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Tanzania",51.04290275,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Thailand",38.85032184,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Trinidad.and.Tobago",57.75442729,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Tunisia",40.43645578,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Turkey",30.77434204,"Ques__economic_impact"
"Improve economic growth and provide new jobs","United.Arab.Emirates",43.68878403,"Ques__economic_impact"
"Improve economic growth and provide new jobs","United.Kingdom",46.6876347,"Ques__economic_impact"
"Improve economic growth and provide new jobs","United.States",44.81098033,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Uruguay",30.78818998,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Uzbekistan",24.84832289,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Vietnam",43.65042508,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Yemen",33.022896,"Ques__economic_impact"
"Improve economic growth and provide new jobs","Zambia",66.62336224,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Albania",35.47552596,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Algeria",30.31264714,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Angola",19.71084257,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Argentina",28.38636929,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Armenia",38.89885338,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Asian...Pacific.Islands",30.35645974,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Australia",26.52758306,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Austria",35.10113315,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Azerbaijan",42.86059009,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Bangladesh",28.97714232,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Belgium",39.76214153,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Benin",25.11857034,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Bolivia..Plurinational.State.of.",40.90057736,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Bosnia.and.Herzegovina",37.90831175,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Botswana",21.62738736,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Brazil",21.05757762,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Bulgaria",39.03411613,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Burkina.Faso",27.10072995,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Cambodia",34.21237489,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Cameroon",22.28539582,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Canada",26.56896763,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Caribbean",28.2457031,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Chile",34.29182744,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Colombia",28.9250687,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Congo..Democratic.Republic.of.the.",33.20522574,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Costa.Rica",31.52479516,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Cote.d.Ivoire",32.06898017,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Croatia",29.33028904,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Cyprus",32.63012359,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Czechia",50.66527285,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Denmark",29.18579199,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Dominican.Republic",29.85981216,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Ecuador",31.94740002,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Egypt",29.98606983,"Ques__economic_impact"
"Reduce economic growth and cost jobs","El.Salvador",40.1336788,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Finland",39.07691941,"Ques__economic_impact"
"Reduce economic growth and cost jobs","France",26.03640683,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Germany",42.88471859,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Ghana",24.749904,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Greece",24.9527562,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Guatemala",36.66299621,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Haiti",21.34044767,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Honduras",31.66697284,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Hong.Kong",27.06569532,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Hungary",45.10903144,"Ques__economic_impact"
"Reduce economic growth and cost jobs","India",26.72250476,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Indonesia",26.74074701,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Iraq",32.93907566,"Ques__economic_impact"
"Reduce economic growth and cost jobs","Ireland",29.0115701,"Ques__economic_impact"
