"response","Country","Number","question"
"I have never heard of it","Albania",9.986319072,"Ques__climate_awareness"
"I have never heard of it","Algeria",23.16878193,"Ques__climate_awareness"
"I have never heard of it","Angola",19.10368633,"Ques__climate_awareness"
"I have never heard of it","Argentina",8.249883449,"Ques__climate_awareness"
"I have never heard of it","Armenia",9.176227189,"Ques__climate_awareness"
"I have never heard of it","Asian...Pacific.Islands",13.29934794,"Ques__climate_awareness"
"I have never heard of it","Australia",1.130386675,"Ques__climate_awareness"
"I have never heard of it","Austria",1.337997008,"Ques__climate_awareness"
"I have never heard of it","Azerbaijan",6.188902805,"Ques__climate_awareness"
"I have never heard of it","Bangladesh",24.46202369,"Ques__climate_awareness"
"I have never heard of it","Belgium",1.396054985,"Ques__climate_awareness"
"I have never heard of it","Benin",33.78506244,"Ques__climate_awareness"
"I have never heard of it","Bolivia..Plurinational.State.of.",17.23085648,"Ques__climate_awareness"
"I have never heard of it","Bosnia.and.Herzegovina",1.59478391,"Ques__climate_awareness"
"I have never heard of it","Botswana",11.74386077,"Ques__climate_awareness"
"I have never heard of it","Brazil",4.732113093,"Ques__climate_awareness"
"I have never heard of it","Bulgaria",4.153214125,"Ques__climate_awareness"
"I have never heard of it","Burkina.Faso",21.75965056,"Ques__climate_awareness"
"I have never heard of it","Cambodia",24.3990134,"Ques__climate_awareness"
"I have never heard of it","Cameroon",24.79671113,"Ques__climate_awareness"
"I have never heard of it","Canada",1.403965195,"Ques__climate_awareness"
"I have never heard of it","Caribbean",9.50791774,"Ques__climate_awareness"
"I have never heard of it","Chile",7.463820623,"Ques__climate_awareness"
"I have never heard of it","Colombia",16.26822319,"Ques__climate_awareness"
"I have never heard of it","Congo..Democratic.Republic.of.the.",32.44254914,"Ques__climate_awareness"
"I have never heard of it","Costa.Rica",7.93195709,"Ques__climate_awareness"
"I have never heard of it","Cote.d.Ivoire",24.08202353,"Ques__climate_awareness"
"I have never heard of it","Croatia",1.228710887,"Ques__climate_awareness"
"I have never heard of it","Cyprus",7.281005824,"Ques__climate_awareness"
"I have never heard of it","Czechia",4.248235951,"Ques__climate_awareness"
"I have never heard of it","Denmark",1.181020451,"Ques__climate_awareness"
"I have never heard of it","Dominican.Republic",17.53689496,"Ques__climate_awareness"
"I have never heard of it","Ecuador",13.06889042,"Ques__climate_awareness"
"I have never heard of it","Egypt",19.73086601,"Ques__climate_awareness"
"I have never heard of it","El.Salvador",19.2594002,"Ques__climate_awareness"
"I have never heard of it","Finland",1.434685483,"Ques__climate_awareness"
"I have never heard of it","France",2.907697096,"Ques__climate_awareness"
