"response","Country","Number","question"
"Very high","Albania",32.91630162,"Ques__gov_priority"
"Very high","Algeria",30.22829071,"Ques__gov_priority"
"Very high","Angola",39.58207575,"Ques__gov_priority"
"Very high","Argentina",47.9483065,"Ques__gov_priority"
"Very high","Armenia",22.45072921,"Ques__gov_priority"
"Very high","Asian...Pacific.Islands",48.97014708,"Ques__gov_priority"
"Very high","Australia",46.35129489,"Ques__gov_priority"
"Very high","Austria",32.28899031,"Ques__gov_priority"
"Very high","Azerbaijan",22.44495514,"Ques__gov_priority"
"Very high","Bangladesh",45.98364224,"Ques__gov_priority"
"Very high","Belgium",33.57384083,"Ques__gov_priority"
"Very high","Benin",39.75118382,"Ques__gov_priority"
"Very high","Bolivia..Plurinational.State.of.",51.44567856,"Ques__gov_priority"
"Very high","Bosnia.and.Herzegovina",25.708411,"Ques__gov_priority"
"Very high","Botswana",38.92533667,"Ques__gov_priority"
"Very high","Brazil",52.33560774,"Ques__gov_priority"
"Very high","Bulgaria",27.59406719,"Ques__gov_priority"
"Very high","Burkina.Faso",41.60608057,"Ques__gov_priority"
"Very high","Cambodia",35.10913483,"Ques__gov_priority"
"Very high","Cameroon",29.14371563,"Ques__gov_priority"
"Very high","Canada",38.59939843,"Ques__gov_priority"
"Very high","Caribbean",43.65338867,"Ques__gov_priority"
"Very high","Chile",66.89865667,"Ques__gov_priority"
"Very high","Colombia",59.628781,"Ques__gov_priority"
"Very high","Congo..Democratic.Republic.of.the.",34.48955553,"Ques__gov_priority"
"Very high","Costa.Rica",58.87265548,"Ques__gov_priority"
"Very high","Cote.d.Ivoire",41.45027982,"Ques__gov_priority"
"Very high","Croatia",35.80477411,"Ques__gov_priority"
"Very high","Cyprus",39.16895873,"Ques__gov_priority"
"Very high","Czechia",16.76032026,"Ques__gov_priority"
"Very high","Denmark",32.95962017,"Ques__gov_priority"
"Very high","Dominican.Republic",45.42253123,"Ques__gov_priority"
"Very high","Ecuador",51.35294876,"Ques__gov_priority"
"Very high","Egypt",27.73531357,"Ques__gov_priority"
"Very high","El.Salvador",59.32691678,"Ques__gov_priority"
"Very high","Finland",29.10622482,"Ques__gov_priority"
"Very high","France",41.707417,"Ques__gov_priority"
"Very high","Germany",28.65609512,"Ques__gov_priority"
"Very high","Ghana",41.73644659,"Ques__gov_priority"
"Very high","Greece",30.69268575,"Ques__gov_priority"
"Very high","Guatemala",49.47168229,"Ques__gov_priority"
"Very high","Haiti",46.15220014,"Ques__gov_priority"
"Very high","Honduras",56.23102255,"Ques__gov_priority"
"Very high","Hong.Kong",15.01263675,"Ques__gov_priority"
"Very high","Hungary",34.46062532,"Ques__gov_priority"
"Very high","India",44.1811875,"Ques__gov_priority"
"Very high","Indonesia",23.53889856,"Ques__gov_priority"
"Very high","Iraq",22.80026151,"Ques__gov_priority"
"Very high","Ireland",37.97120707,"Ques__gov_priority"
"Very high","Israel",33.32531373,"Ques__gov_priority"
"Very high","Italy",43.93494273,"Ques__gov_priority"
"Very high","Jamaica",50.5914773,"Ques__gov_priority"
"Very high","Japan",17.15594623,"Ques__gov_priority"
"Very high","Jordan",23.73384935,"Ques__gov_priority"
"Very high","Kenya",47.01851204,"Ques__gov_priority"
"Very high","Kosovo",33.48045852,"Ques__gov_priority"
"Very high","Kuwait",28.77227674,"Ques__gov_priority"
"Very high","Lao.People.s.Democratic.Republic",28.7426336,"Ques__gov_priority"
