"response","Country","Number","question"
"Yes","Albania",81.97148873,"Ques__happening"
"Yes","Algeria",74.43003298,"Ques__happening"
"Yes","Angola",90.63835408,"Ques__happening"
"Yes","Argentina",90.83728116,"Ques__happening"
"Yes","Armenia",87.86463118,"Ques__happening"
"Yes","Asian...Pacific.Islands",86.31373157,"Ques__happening"
"Yes","Australia",82.70554601,"Ques__happening"
"Yes","Austria",88.07897212,"Ques__happening"
"Yes","Azerbaijan",82.67823907,"Ques__happening"
"Yes","Bangladesh",70.19583458,"Ques__happening"
"Yes","Belgium",88.04516269,"Ques__happening"
"Yes","Benin",79.04773575,"Ques__happening"
"Yes","Bolivia..Plurinational.State.of.",86.80813494,"Ques__happening"
"Yes","Bosnia.and.Herzegovina",91.61154911,"Ques__happening"
"Yes","Botswana",89.73885067,"Ques__happening"
"Yes","Brazil",90.33753615,"Ques__happening"
"Yes","Bulgaria",91.70799082,"Ques__happening"
"Yes","Burkina.Faso",86.82737158,"Ques__happening"
"Yes","Cambodia",71.32539679,"Ques__happening"
"Yes","Cameroon",84.93009047,"Ques__happening"
"Yes","Canada",87.92902743,"Ques__happening"
"Yes","Caribbean",84.48184013,"Ques__happening"
"Yes","Chile",89.7888832,"Ques__happening"
"Yes","Colombia",89.33193176,"Ques__happening"
"Yes","Congo..Democratic.Republic.of.the.",86.7803077,"Ques__happening"
"Yes","Costa.Rica",93.65237373,"Ques__happening"
"Yes","Cote.d.Ivoire",88.56346833,"Ques__happening"
"Yes","Croatia",89.57457768,"Ques__happening"
"Yes","Cyprus",88.8703692,"Ques__happening"
"Yes","Czechia",84.70859365,"Ques__happening"
"Yes","Denmark",88.18704787,"Ques__happening"
"Yes","Dominican.Republic",86.20322023,"Ques__happening"
"Yes","Ecuador",90.55077199,"Ques__happening"
"Yes","Egypt",74.61926865,"Ques__happening"
"Yes","El.Salvador",91.14088757,"Ques__happening"
"Yes","Finland",81.33859384,"Ques__happening"
"Yes","France",90.24454719,"Ques__happening"
"Yes","Germany",86.54235421,"Ques__happening"
"Yes","Ghana",80.61926388,"Ques__happening"
"Yes","Greece",90.93129098,"Ques__happening"
"Yes","Guatemala",85.19578285,"Ques__happening"
"Yes","Haiti",67.42070661,"Ques__happening"
"Yes","Honduras",86.68855484,"Ques__happening"
"Yes","Hong.Kong",85.44899199,"Ques__happening"
"Yes","Hungary",96.05718907,"Ques__happening"
"Yes","India",82.99052905,"Ques__happening"
"Yes","Indonesia",78.04955829,"Ques__happening"
"Yes","Iraq",74.67481929,"Ques__happening"
"Yes","Ireland",87.22460619,"Ques__happening"
"Yes","Israel",83.18001785,"Ques__happening"
"Yes","Italy",87.5573905,"Ques__happening"
"Yes","Jamaica",83.02858263,"Ques__happening"
"Yes","Japan",88.72969134,"Ques__happening"
"Yes","Jordan",75.65978772,"Ques__happening"
"Yes","Kenya",92.43000584,"Ques__happening"
"Yes","Kosovo",73.25822622,"Ques__happening"
"Yes","Kuwait",75.83693933,"Ques__happening"
"Yes","Lao.People.s.Democratic.Republic",67.20765482,"Ques__happening"
"Yes","Lebanon",77.78237048,"Ques__happening"
"Yes","Libya",72.05907985,"Ques__happening"
"Yes","Lithuania",93.05058309,"Ques__happening"
"Yes","Malawi",89.03572501,"Ques__happening"
"Yes","Malaysia",78.10965892,"Ques__happening"
"Yes","Mexico",92.59014733,"Ques__happening"
"Yes","Morocco",76.17209065,"Ques__happening"
"Yes","Mozambique",86.85443799,"Ques__happening"
"Yes","Nepal",83.38266881,"Ques__happening"
"Yes","Netherlands",87.47626188,"Ques__happening"
"Yes","New.Zealand",84.33002586,"Ques__happening"
"Yes","Nicaragua",92.60055881,"Ques__happening"
"Yes","Nigeria",81.17514405,"Ques__happening"
"Yes","North.MAcedonia",88.40792848,"Ques__happening"
"Yes","Norway",77.82048579,"Ques__happening"
"Yes","Oman",73.76348864,"Ques__happening"
"Yes","Pakistan",77.21077345,"Ques__happening"
"Yes","Panama",92.02934609,"Ques__happening"
"Yes","Paraguay",81.81995796,"Ques__happening"
"Yes","Peru",90.76035151,"Ques__happening"
"Yes","Philippines",88.18034067,"Ques__happening"
"Yes","Poland",89.71189602,"Ques__happening"
"Yes","Portugal",94.70245212,"Ques__happening"
"Yes","Puerto.Rico",92.85028362,"Ques__happening"
"Yes","Qatar",78.64443892,"Ques__happening"
"Yes","Romania",87.78702894,"Ques__happening"
"Yes","Saudi.Arabia",76.20344203,"Ques__happening"
"Yes","Senegal",86.06400182,"Ques__happening"
"Yes","Serbia",90.74766216,"Ques__happening"
"Yes","Singapore",88.52153492,"Ques__happening"
"Yes","Slovakia",92.55207885,"Ques__happening"
"Yes","South.Africa",89.58196801,"Ques__happening"
"Yes","South.Korea",89.73494432,"Ques__happening"
"Yes","Spain",89.4099185,"Ques__happening"
"Yes","Sri.Lanka",89.29693592,"Ques__happening"
"Yes","Sub.Saharan.Africa",81.21645635,"Ques__happening"
"Yes","Sweden",84.3552147,"Ques__happening"
"Yes","Switzerland",89.14989824,"Ques__happening"
"Yes","Taiwan",91.62869461,"Ques__happening"
"Yes","Tanzania",78.74564518,"Ques__happening"
"Yes","Thailand",76.60617847,"Ques__happening"
"Yes","Trinidad.and.Tobago",89.88208983,"Ques__happening"
"Yes","Tunisia",72.9704923,"Ques__happening"
"Yes","Turkey",86.54167393,"Ques__happening"
"Yes","United.Arab.Emirates",82.82548911,"Ques__happening"
"Yes","United.Kingdom",88.35570414,"Ques__happening"
"Yes","United.States",82.8182144,"Ques__happening"
"Yes","Uruguay",89.56445515,"Ques__happening"
"Yes","Uzbekistan",86.1120833,"Ques__happening"
"Yes","Vietnam",84.67791293,"Ques__happening"
"Yes","Yemen",76.62211389,"Ques__happening"
"Yes","Zambia",87.73509411,"Ques__happening"
"No","Albania",3.228986664,"Ques__happening"
"No","Algeria",5.414384934,"Ques__happening"
"No","Angola",2.234309733,"Ques__happening"
"No","Argentina",3.04763626,"Ques__happening"
"No","Armenia",3.55909517,"Ques__happening"
"No","Asian...Pacific.Islands",3.100968595,"Ques__happening"
"No","Australia",9.539470884,"Ques__happening"
"No","Austria",5.173509021,"Ques__happening"
"No","Azerbaijan",5.823760657,"Ques__happening"
"No","Bangladesh",8.324007018,"Ques__happening"
"No","Belgium",4.556180445,"Ques__happening"
"No","Benin",2.217285193,"Ques__happening"
"No","Bolivia..Plurinational.State.of.",2.783774154,"Ques__happening"
"No","Bosnia.and.Herzegovina",3.650465375,"Ques__happening"
"No","Botswana",2.471457743,"Ques__happening"
"No","Brazil",3.781376912,"Ques__happening"
"No","Bulgaria",2.475082007,"Ques__happening"
"No","Burkina.Faso",2.325207267,"Ques__happening"
"No","Cambodia",3.44443683,"Ques__happening"
"No","Cameroon",0.725278083,"Ques__happening"
"No","Canada",6.321114216,"Ques__happening"
"No","Caribbean",2.83211152,"Ques__happening"
"No","Chile",1.731474823,"Ques__happening"
"No","Colombia",1.390116426,"Ques__happening"
"No","Congo..Democratic.Republic.of.the.",3.504735683,"Ques__happening"
"No","Costa.Rica",1.272608592,"Ques__happening"
"No","Cote.d.Ivoire",1.673257615,"Ques__happening"
"No","Croatia",3.844554167,"Ques__happening"
"No","Cyprus",1.965293202,"Ques__happening"
"No","Czechia",5.783224229,"Ques__happening"
"No","Denmark",2.555936421,"Ques__happening"
"No","Dominican.Republic",2.156097448,"Ques__happening"
"No","Ecuador",1.743998096,"Ques__happening"
"No","Egypt",2.508277582,"Ques__happening"
"No","El.Salvador",2.178693321,"Ques__happening"
"No","Finland",9.300156749,"Ques__happening"
"No","France",3.551134427,"Ques__happening"
"No","Germany",6.670445595,"Ques__happening"
"No","Ghana",3.181717672,"Ques__happening"
"No","Greece",4.038408233,"Ques__happening"
"No","Guatemala",2.515026406,"Ques__happening"
"No","Haiti",6.616273853,"Ques__happening"
"No","Honduras",1.021521968,"Ques__happening"
"No","Hong.Kong",6.227596731,"Ques__happening"
"No","Hungary",1.679496998,"Ques__happening"
"No","India",5.594204966,"Ques__happening"
"No","Indonesia",2.737415096,"Ques__happening"
"No","Iraq",3.593260632,"Ques__happening"
"No","Ireland",4.967726232,"Ques__happening"
"No","Israel",4.313934788,"Ques__happening"
"No","Italy",4.324026861,"Ques__happening"
"No","Jamaica",2.695059407,"Ques__happening"
"No","Japan",4.048201396,"Ques__happening"
"No","Jordan",3.570255617,"Ques__happening"
"No","Kenya",1.416630951,"Ques__happening"
"No","Kosovo",5.168406969,"Ques__happening"
"No","Kuwait",4.061766802,"Ques__happening"
"No","Lao.People.s.Democratic.Republic",3.14670402,"Ques__happening"
"No","Lebanon",4.537668028,"Ques__happening"
"No","Libya",2.086101218,"Ques__happening"
"No","Lithuania",2.360300242,"Ques__happening"
"No","Malawi",2.374499873,"Ques__happening"
"No","Malaysia",3.865879196,"Ques__happening"
"No","Mexico",1.847137602,"Ques__happening"
"No","Morocco",6.029999671,"Ques__happening"
"No","Mozambique",1.743596791,"Ques__happening"
"No","Nepal",5.393740346,"Ques__happening"
"No","Netherlands",7.034118186,"Ques__happening"
"No","New.Zealand",6.455467015,"Ques__happening"
"No","Nicaragua",1.336664642,"Ques__happening"
"No","Nigeria",1.553860077,"Ques__happening"
"No","North.MAcedonia",3.049547424,"Ques__happening"
"No","Norway",10.98473086,"Ques__happening"
"No","Oman",5.244241857,"Ques__happening"
"No","Pakistan",4.354499229,"Ques__happening"
"No","Panama",2.04681138,"Ques__happening"
"No","Paraguay",2.935586568,"Ques__happening"
"No","Peru",2.122508725,"Ques__happening"
"No","Philippines",2.672803641,"Ques__happening"
"No","Poland",5.171105331,"Ques__happening"
"No","Portugal",1.774475127,"Ques__happening"
"No","Puerto.Rico",1.010787099,"Ques__happening"
"No","Qatar",5.647943241,"Ques__happening"
"No","Romania",1.960553563,"Ques__happening"
"No","Saudi.Arabia",5.473847334,"Ques__happening"
"No","Senegal",1.447454987,"Ques__happening"
"No","Serbia",1.876263747,"Ques__happening"
"No","Singapore",2.442029934,"Ques__happening"
"No","Slovakia",3.005393561,"Ques__happening"
"No","South.Africa",1.923710154,"Ques__happening"
"No","South.Korea",2.109019947,"Ques__happening"
"No","Spain",4.157794221,"Ques__happening"
"No","Sri.Lanka",4.226441349,"Ques__happening"
"No","Sub.Saharan.Africa",3.817295589,"Ques__happening"
"No","Sweden",7.045649006,"Ques__happening"
"No","Switzerland",4.826376289,"Ques__happening"
"No","Taiwan",2.141044079,"Ques__happening"
"No","Tanzania",3.211785679,"Ques__happening"
"No","Thailand",1.445631785,"Ques__happening"
"No","Trinidad.and.Tobago",2.800383403,"Ques__happening"
"No","Tunisia",6.719308867,"Ques__happening"
"No","Turkey",4.996588791,"Ques__happening"
"No","United.Arab.Emirates",3.723195778,"Ques__happening"
"No","United.Kingdom",4.748834344,"Ques__happening"
"No","United.States",11.37812171,"Ques__happening"
"No","Uruguay",1.702304793,"Ques__happening"
"No","Uzbekistan",3.48762363,"Ques__happening"
"No","Vietnam",5.195729917,"Ques__happening"
"No","Yemen",2.477738001,"Ques__happening"
"No","Zambia",5.003191532,"Ques__happening"
"Don't know","Albania",14.75795345,"Ques__happening"
"Don't know","Algeria",19.05693334,"Ques__happening"
"Don't know","Angola",6.670148997,"Ques__happening"
"Don't know","Argentina",5.864364522,"Ques__happening"
"Don't know","Armenia",8.491982946,"Ques__happening"
"Don't know","Asian...Pacific.Islands",9.821073784,"Ques__happening"
"Don't know","Australia",7.723755654,"Ques__happening"
"Don't know","Austria",6.592678964,"Ques__happening"
"Don't know","Azerbaijan",11.44231249,"Ques__happening"
"Don't know","Bangladesh",21.42711152,"Ques__happening"
"Don't know","Belgium",7.398656861,"Ques__happening"
"Don't know","Benin",17.27644353,"Ques__happening"
"Don't know","Bolivia..Plurinational.State.of.",9.879553471,"Ques__happening"
"Don't know","Bosnia.and.Herzegovina",4.737985519,"Ques__happening"
"Don't know","Botswana",7.586974344,"Ques__happening"
"Don't know","Brazil",5.807649412,"Ques__happening"
"Don't know","Bulgaria",5.723655095,"Ques__happening"
"Don't know","Burkina.Faso",10.39997234,"Ques__happening"
"Don't know","Cambodia",23.29412857,"Ques__happening"
"Don't know","Cameroon",13.13015482,"Ques__happening"
"Don't know","Canada",5.749858351,"Ques__happening"
"Don't know","Caribbean",12.37212652,"Ques__happening"
"Don't know","Chile",8.429573056,"Ques__happening"
"Don't know","Colombia",9.257934757,"Ques__happening"
"Don't know","Congo..Democratic.Republic.of.the.",8.447783928,"Ques__happening"
"Don't know","Costa.Rica",4.85848216,"Ques__happening"
"Don't know","Cote.d.Ivoire",8.623499471,"Ques__happening"
"Don't know","Croatia",6.580868155,"Ques__happening"
"Don't know","Cyprus",8.725792307,"Ques__happening"
"Don't know","Czechia",9.474349948,"Ques__happening"
"Don't know","Denmark",9.154369586,"Ques__happening"
"Don't know","Dominican.Republic",10.86147431,"Ques__happening"
"Don't know","Ecuador",7.705229916,"Ques__happening"
