"response","Country","Number","question"
"Much more","Albania",47.10144915,"Ques__renewable_moreorless"
"Much more","Algeria",45.59761679,"Ques__renewable_moreorless"
"Much more","Angola",55.19125301,"Ques__renewable_moreorless"
"Much more","Argentina",67.58769424,"Ques__renewable_moreorless"
"Much more","Armenia",56.52504441,"Ques__renewable_moreorless"
"Much more","Asian...Pacific.Islands",53.46930964,"Ques__renewable_moreorless"
"Much more","Australia",57.50572135,"Ques__renewable_moreorless"
"Much more","Austria",57.81483376,"Ques__renewable_moreorless"
"Much more","Azerbaijan",48.24333633,"Ques__renewable_moreorless"
"Much more","Bangladesh",43.36499463,"Ques__renewable_moreorless"
"Much more","Belgium",44.95211654,"Ques__renewable_moreorless"
"Much more","Benin",60.7655655,"Ques__renewable_moreorless"
"Much more","Bolivia..Plurinational.State.of.",52.28277626,"Ques__renewable_moreorless"
"Much more","Bosnia.and.Herzegovina",60.24813295,"Ques__renewable_moreorless"
"Much more","Botswana",64.491788,"Ques__renewable_moreorless"
"Much more","Brazil",73.83558589,"Ques__renewable_moreorless"
"Much more","Bulgaria",41.70706894,"Ques__renewable_moreorless"
"Much more","Burkina.Faso",69.83180039,"Ques__renewable_moreorless"
"Much more","Cambodia",40.99745313,"Ques__renewable_moreorless"
"Much more","Cameroon",51.08689621,"Ques__renewable_moreorless"
"Much more","Canada",51.94082404,"Ques__renewable_moreorless"
"Much more","Caribbean",53.94182845,"Ques__renewable_moreorless"
"Much more","Chile",73.32729928,"Ques__renewable_moreorless"
"Much more","Colombia",63.97055271,"Ques__renewable_moreorless"
"Much more","Congo..Democratic.Republic.of.the.",42.58496876,"Ques__renewable_moreorless"
"Much more","Costa.Rica",68.00095842,"Ques__renewable_moreorless"
"Much more","Cote.d.Ivoire",49.25016576,"Ques__renewable_moreorless"
"Much more","Croatia",71.91343981,"Ques__renewable_moreorless"
"Much more","Cyprus",60.45461794,"Ques__renewable_moreorless"
"Much more","Czechia",31.48070208,"Ques__renewable_moreorless"
"Much more","Denmark",49.15943883,"Ques__renewable_moreorless"
"Much more","Dominican.Republic",54.64810876,"Ques__renewable_moreorless"
"Much more","Ecuador",53.13024734,"Ques__renewable_moreorless"
"Much more","Egypt",35.66320536,"Ques__renewable_moreorless"
"Much more","El.Salvador",57.87270454,"Ques__renewable_moreorless"
"Much more","Finland",40.35824596,"Ques__renewable_moreorless"
"Much more","France",46.65445237,"Ques__renewable_moreorless"
"Much more","Germany",51.92339061,"Ques__renewable_moreorless"
"Much more","Ghana",66.58684286,"Ques__renewable_moreorless"
"Much more","Greece",51.3036894,"Ques__renewable_moreorless"
"Much more","Guatemala",40.04718104,"Ques__renewable_moreorless"
"Much more","Haiti",53.53371249,"Ques__renewable_moreorless"
"Much more","Honduras",51.84542618,"Ques__renewable_moreorless"
"Much more","Hong.Kong",29.75117564,"Ques__renewable_moreorless"
"Much more","Hungary",68.92645365,"Ques__renewable_moreorless"
"Much more","India",55.41051231,"Ques__renewable_moreorless"
"Much more","Indonesia",26.84850094,"Ques__renewable_moreorless"
"Much more","Iraq",38.35549157,"Ques__renewable_moreorless"
"Much more","Ireland",57.77959821,"Ques__renewable_moreorless"
"Much more","Israel",57.94969564,"Ques__renewable_moreorless"
"Much more","Italy",74.44377029,"Ques__renewable_moreorless"
"Much more","Jamaica",53.45593117,"Ques__renewable_moreorless"
"Much more","Japan",31.69742834,"Ques__renewable_moreorless"
"Much more","Jordan",42.29546693,"Ques__renewable_moreorless"
"Much more","Kenya",63.84717509,"Ques__renewable_moreorless"
"Much more","Kosovo",45.37819514,"Ques__renewable_moreorless"
"Much more","Kuwait",44.49615734,"Ques__renewable_moreorless"
"Much more","Lao.People.s.Democratic.Republic",37.47656648,"Ques__renewable_moreorless"
"Much more","Lebanon",55.98533752,"Ques__renewable_moreorless"
"Much more","Libya",48.52811543,"Ques__renewable_moreorless"
"Much more","Lithuania",60.59642092,"Ques__renewable_moreorless"
"Much more","Malawi",71.53719626,"Ques__renewable_moreorless"
"Much more","Malaysia",36.11148229,"Ques__renewable_moreorless"
"Much more","Mexico",63.58388362,"Ques__renewable_moreorless"
"Much more","Morocco",49.28414812,"Ques__renewable_moreorless"
"Much more","Mozambique",47.44271208,"Ques__renewable_moreorless"
"Much more","Nepal",50.92557335,"Ques__renewable_moreorless"
"Much more","Netherlands",43.67948697,"Ques__renewable_moreorless"
"Much more","New.Zealand",44.28446847,"Ques__renewable_moreorless"
"Much more","Nicaragua",53.75962097,"Ques__renewable_moreorless"
"Much more","Nigeria",52.20892644,"Ques__renewable_moreorless"
"Much more","North.MAcedonia",65.30937152,"Ques__renewable_moreorless"
"Much more","Norway",35.91797,"Ques__renewable_moreorless"
"Much more","Oman",50.08052315,"Ques__renewable_moreorless"
"Much more","Pakistan",53.26531621,"Ques__renewable_moreorless"
"Much more","Panama",57.24961125,"Ques__renewable_moreorless"
"Much more","Paraguay",45.07314373,"Ques__renewable_moreorless"
"Much more","Peru",57.01323124,"Ques__renewable_moreorless"
"Much more","Philippines",56.22297827,"Ques__renewable_moreorless"
"Much more","Poland",62.89025208,"Ques__renewable_moreorless"
"Much more","Portugal",64.35414608,"Ques__renewable_moreorless"
"Much more","Puerto.Rico",69.1333158,"Ques__renewable_moreorless"
"Much more","Qatar",49.02356412,"Ques__renewable_moreorless"
"Much more","Romania",53.91684883,"Ques__renewable_moreorless"
"Much more","Saudi.Arabia",43.28757966,"Ques__renewable_moreorless"
"Much more","Senegal",62.62306126,"Ques__renewable_moreorless"
"Much more","Serbia",63.99618622,"Ques__renewable_moreorless"
"Much more","Singapore",38.26188854,"Ques__renewable_moreorless"
"Much more","Slovakia",58.6767513,"Ques__renewable_moreorless"
"Much more","South.Africa",64.91193211,"Ques__renewable_moreorless"
"Much more","South.Korea",41.93041356,"Ques__renewable_moreorless"
"Much more","Spain",74.40987153,"Ques__renewable_moreorless"
"Much more","Sri.Lanka",56.68239046,"Ques__renewable_moreorless"
"Much more","Sub.Saharan.Africa",55.15886388,"Ques__renewable_moreorless"
"Much more","Sweden",47.02544887,"Ques__renewable_moreorless"
"Much more","Switzerland",52.83729089,"Ques__renewable_moreorless"
"Much more","Taiwan",29.06658529,"Ques__renewable_moreorless"
"Much more","Tanzania",37.07414293,"Ques__renewable_moreorless"
"Much more","Thailand",36.63371107,"Ques__renewable_moreorless"
"Much more","Trinidad.and.Tobago",55.68772223,"Ques__renewable_moreorless"
"Much more","Tunisia",44.28280084,"Ques__renewable_moreorless"
"Much more","Turkey",60.14618538,"Ques__renewable_moreorless"
"Much more","United.Arab.Emirates",51.04908107,"Ques__renewable_moreorless"
"Much more","United.Kingdom",57.95664204,"Ques__renewable_moreorless"
"Much more","United.States",51.74432586,"Ques__renewable_moreorless"
"Much more","Uruguay",57.80609321,"Ques__renewable_moreorless"
"Much more","Uzbekistan",50.51253448,"Ques__renewable_moreorless"
"Much more","Vietnam",45.56650562,"Ques__renewable_moreorless"
"Much more","Yemen",34.19283552,"Ques__renewable_moreorless"
"Much more","Zambia",72.44627733,"Ques__renewable_moreorless"
"Somewhat more","Albania",26.74456905,"Ques__renewable_moreorless"
"Somewhat more","Algeria",17.76623252,"Ques__renewable_moreorless"
"Somewhat more","Angola",19.71510771,"Ques__renewable_moreorless"
"Somewhat more","Argentina",12.9017658,"Ques__renewable_moreorless"
"Somewhat more","Armenia",11.19252459,"Ques__renewable_moreorless"
"Somewhat more","Asian...Pacific.Islands",17.40158992,"Ques__renewable_moreorless"
"Somewhat more","Australia",22.85527661,"Ques__renewable_moreorless"
"Somewhat more","Austria",26.30811301,"Ques__renewable_moreorless"
"Somewhat more","Azerbaijan",19.3705145,"Ques__renewable_moreorless"
"Somewhat more","Bangladesh",22.51567805,"Ques__renewable_moreorless"
"Somewhat more","Belgium",32.7318994,"Ques__renewable_moreorless"
