"response","Country","Number","question"
"Very serious threat","Albania",39.93919832,"Ques__threat_20_years"
"Very serious threat","Algeria",37.52396237,"Ques__threat_20_years"
"Very serious threat","Angola",48.921904,"Ques__threat_20_years"
"Very serious threat","Argentina",50.36636706,"Ques__threat_20_years"
"Very serious threat","Armenia",19.44651611,"Ques__threat_20_years"
"Very serious threat","Asian...Pacific.Islands",61.66209043,"Ques__threat_20_years"
"Very serious threat","Australia",42.67475079,"Ques__threat_20_years"
"Very serious threat","Austria",23.51232542,"Ques__threat_20_years"
"Very serious threat","Azerbaijan",26.21878885,"Ques__threat_20_years"
"Very serious threat","Bangladesh",52.29430053,"Ques__threat_20_years"
"Very serious threat","Belgium",29.80490924,"Ques__threat_20_years"
"Very serious threat","Benin",56.51144211,"Ques__threat_20_years"
"Very serious threat","Bolivia..Plurinational.State.of.",62.87082526,"Ques__threat_20_years"
"Very serious threat","Bosnia.and.Herzegovina",40.74832572,"Ques__threat_20_years"
"Very serious threat","Botswana",65.91118653,"Ques__threat_20_years"
"Very serious threat","Brazil",66.44405903,"Ques__threat_20_years"
"Very serious threat","Bulgaria",29.5694429,"Ques__threat_20_years"
"Very serious threat","Burkina.Faso",60.95473678,"Ques__threat_20_years"
"Very serious threat","Cambodia",56.89842281,"Ques__threat_20_years"
"Very serious threat","Cameroon",50.77884075,"Ques__threat_20_years"
"Very serious threat","Canada",44.12586457,"Ques__threat_20_years"
"Very serious threat","Caribbean",53.16785672,"Ques__threat_20_years"
"Very serious threat","Chile",71.0053916,"Ques__threat_20_years"
"Very serious threat","Colombia",64.41708947,"Ques__threat_20_years"
"Very serious threat","Congo..Democratic.Republic.of.the.",50.68327425,"Ques__threat_20_years"
"Very serious threat","Costa.Rica",63.90262817,"Ques__threat_20_years"
"Very serious threat","Cote.d.Ivoire",60.30385098,"Ques__threat_20_years"
"Very serious threat","Croatia",45.05387661,"Ques__threat_20_years"
"Very serious threat","Cyprus",40.27093918,"Ques__threat_20_years"
"Very serious threat","Czechia",13.47645482,"Ques__threat_20_years"
"Very serious threat","Denmark",19.25753123,"Ques__threat_20_years"
"Very serious threat","Dominican.Republic",41.87480535,"Ques__threat_20_years"
"Very serious threat","Ecuador",62.45478497,"Ques__threat_20_years"
"Very serious threat","Egypt",21.3968666,"Ques__threat_20_years"
"Very serious threat","El.Salvador",65.11582111,"Ques__threat_20_years"
"Very serious threat","Finland",23.09064066,"Ques__threat_20_years"
"Very serious threat","France",45.14568571,"Ques__threat_20_years"
"Very serious threat","Germany",24.69519297,"Ques__threat_20_years"
"Very serious threat","Ghana",58.42688993,"Ques__threat_20_years"
"Very serious threat","Greece",42.21960581,"Ques__threat_20_years"
"Very serious threat","Guatemala",57.82661767,"Ques__threat_20_years"
