"country","year","emissions"
"Afghanistan","X1990",0.77
"Afghanistan","X1991",0.74
"Afghanistan","X1992",0.62
"Afghanistan","X1993",0.58
"Afghanistan","X1994",0.54
"Afghanistan","X1995",0.53
"Afghanistan","X1996",0.56
"Afghanistan","X1997",0.6
"Afghanistan","X1998",0.63
"Afghanistan","X1999",0.66
"Afghanistan","X2000",0.55
"Afghanistan","X2001",0.57
"Afghanistan","X2002",0.66
"Afghanistan","X2003",0.66
"Afghanistan","X2004",0.62
"Afghanistan","X2005",0.64
"Afghanistan","X2006",0.64
"Afghanistan","X2007",0.64
"Afghanistan","X2008",0.75
"Afghanistan","X2009",0.8
"Afghanistan","X2010",0.93
"Afghanistan","X2011",0.97
"Afghanistan","X2012",0.92
"Afghanistan","X2013",0.83
"Afghanistan","X2014",0.79
"Afghanistan","X2015",0.78
"Afghanistan","X2016",0.76
"Afghanistan","X2017",0.74
"Afghanistan","X2018",0.75
"Afghanistan","X2019",0.76
"Albania","X1990",3.44
"Albania","X1991",2.74
"Albania","X1992",2.14
"Albania","X1993",2.14
"Albania","X1994",2.41
"Albania","X1995",2.38
"Albania","X1996",2.3
"Albania","X1997",2.09
"Albania","X1998",2.18
"Albania","X1999",2.58
"Albania","X2000",2.72
"Albania","X2001",2.29
"Albania","X2002",2.5
"Albania","X2003",2.62
"Albania","X2004",2.66
"Albania","X2005",2.6
"Albania","X2006",2.58
"Albania","X2007",2.61
"Albania","X2008",2.54
"Albania","X2009",2.57
"Albania","X2010",2.67
"Albania","X2011",2.92
"Albania","X2012",2.77
"Albania","X2013",2.79
"Albania","X2014",2.95
"Albania","X2015",2.91
"Albania","X2016",3.08
"Albania","X2017",3.28
"Albania","X2018",3.22
"Albania","X2019",3.07
"Algeria","X1990",4.71
"Algeria","X1991",4.76
"Algeria","X1992",4.68
"Algeria","X1993",4.89
"Algeria","X1994",4.85
"Algeria","X1995",5
"Algeria","X1996",5.02
"Algeria","X1997",4.94
"Algeria","X1998",4.94
"Algeria","X1999",5.05
"Algeria","X2000",5.27
"Algeria","X2001",4.99
"Algeria","X2002",5.11
"Algeria","X2003",5.43
"Algeria","X2004",5.45
"Algeria","X2005",5.6
"Algeria","X2006",5.75
"Algeria","X2007",5.75
"Algeria","X2008",5.82
"Algeria","X2009",5.78
"Algeria","X2010",5.77
"Algeria","X2011",5.87
"Algeria","X2012",6.29
"Algeria","X2013",6.28
"Algeria","X2014",6.5
"Algeria","X2015",6.61
"Algeria","X2016",6.55
"Algeria","X2017",6.51
"Algeria","X2018",6.59
"Algeria","X2019",6.56
"Andorra","X1990",7.9
"Andorra","X1991",7.63
"Andorra","X1992",7.37
"Andorra","X1993",7.21
"Andorra","X1994",6.98
"Andorra","X1995",7.17
"Andorra","X1996",7.67
"Andorra","X1997",7.94
"Andorra","X1998",8.46
"Andorra","X1999",8.87
"Andorra","X2000",8.99
"Andorra","X2001",8.8
"Andorra","X2002",8.63
