"climate_awareness","Country","Number"
"I have never heard of it","Albania",9.986319072
"I have never heard of it","Algeria",23.16878193
"I have never heard of it","Angola",19.10368633
"I have never heard of it","Argentina",8.249883449
"I have never heard of it","Armenia",9.176227189
"I have never heard of it","Asian...Pacific.Islands",13.29934794
"I have never heard of it","Australia",1.130386675
"I have never heard of it","Austria",1.337997008
"I have never heard of it","Azerbaijan",6.188902805
"I have never heard of it","Bangladesh",24.46202369
"I have never heard of it","Belgium",1.396054985
"I have never heard of it","Benin",33.78506244
"I have never heard of it","Bolivia..Plurinational.State.of.",17.23085648
"I have never heard of it","Bosnia.and.Herzegovina",1.59478391
"I have never heard of it","Botswana",11.74386077
"I have never heard of it","Brazil",4.732113093
"I have never heard of it","Bulgaria",4.153214125
"I have never heard of it","Burkina.Faso",21.75965056
"I have never heard of it","Cambodia",24.3990134
"I have never heard of it","Cameroon",24.79671113
"I have never heard of it","Canada",1.403965195
"I have never heard of it","Caribbean",9.50791774
"I have never heard of it","Chile",7.463820623
"I have never heard of it","Colombia",16.26822319
"I have never heard of it","Congo..Democratic.Republic.of.the.",32.44254914
"I have never heard of it","Costa.Rica",7.93195709
"I have never heard of it","Cote.d.Ivoire",24.08202353
"I have never heard of it","Croatia",1.228710887
"I have never heard of it","Cyprus",7.281005824
"I have never heard of it","Czechia",4.248235951
"I have never heard of it","Denmark",1.181020451
"I have never heard of it","Dominican.Republic",17.53689496
"I have never heard of it","Ecuador",13.06889042
"I have never heard of it","Egypt",19.73086601
"I have never heard of it","El.Salvador",19.2594002
"I have never heard of it","Finland",1.434685483
"I have never heard of it","France",2.907697096
"I have never heard of it","Germany",2.264088912
"I have never heard of it","Ghana",30.64391859
"I have never heard of it","Greece",3.404578753
"I have never heard of it","Guatemala",30.43932323
"I have never heard of it","Haiti",32.28322585
"I have never heard of it","Honduras",22.95280846
"I have never heard of it","Hong.Kong",7.008531907
"I have never heard of it","Hungary",0.854559497
"I have never heard of it","India",18.52214742
"I have never heard of it","Indonesia",15.59674529
"I have never heard of it","Iraq",21.15700448
"I have never heard of it","Ireland",3.027936798
"I have never heard of it","Israel",6.808658445
"I have never heard of it","Italy",2.53748041
"I have never heard of it","Jamaica",15.70576196
"I have never heard of it","Japan",2.256617732
"I have never heard of it","Jordan",21.09494189
"I have never heard of it","Kenya",13.76142337
"I have never heard of it","Kosovo",19.9032452
"I have never heard of it","Kuwait",25.04842938
"I have never heard of it","Lao.People.s.Democratic.Republic",21.0248284
"I have never heard of it","Lebanon",18.73283657
"I have never heard of it","Libya",18.25006527
"I have never heard of it","Lithuania",0.656867551
"I have never heard of it","Malawi",11.61753778
"I have never heard of it","Malaysia",20.89338068
"I have never heard of it","Mexico",7.623238947
"I have never heard of it","Morocco",21.2212034
"I have never heard of it","Mozambique",26.26092893
"I have never heard of it","Nepal",16.70501375
"I have never heard of it","Netherlands",0.958447765
"I have never heard of it","New.Zealand",5.080802721
"I have never heard of it","Nicaragua",21.03576638
"I have never heard of it","Nigeria",32.35966087
"I have never heard of it","North.MAcedonia",2.353612743
"I have never heard of it","Norway",2.526178599
"I have never heard of it","Oman",18.25897347
"I have never heard of it","Pakistan",21.78007635
"I have never heard of it","Panama",16.02366332
"I have never heard of it","Paraguay",22.44835651
"I have never heard of it","Peru",9.017049526
"I have never heard of it","Philippines",7.363086272
"I have never heard of it","Poland",0.876051695
"I have never heard of it","Portugal",3.196632289
"I have never heard of it","Puerto.Rico",5.833919041
"I have never heard of it","Qatar",19.4847591
"I have never heard of it","Romania",5.974161001
"I have never heard of it","Saudi.Arabia",15.83146154
"I have never heard of it","Senegal",17.8834041
"I have never heard of it","Serbia",3.026915761
"I have never heard of it","Singapore",9.548501789
"I have never heard of it","Slovakia",1.76483317
"I have never heard of it","South.Africa",12.44414201
"I have never heard of it","South.Korea",8.841769755
"I have never heard of it","Spain",3.967151145
"I have never heard of it","Sri.Lanka",10.69671614
